TOKEN	NE-COARSE-LIT
sound	O
companies	B_TERM
.	O
Corruption	B_TERM
is	O
morally	O
reprehensible	O
and	O
undermines	O
trust	O
in	O
society	B_TERM
and	O
in	O
democracy	O
.	O
The	O
business	B_TERM
community	I_TERM
sees	O
it	O
as	O
the	O
main	O
obstacle	O
to	O
investment	B_TERM
in	O
certain	O
countries	O
.	O
In	O
the	O
longer	O
term	O
,	O
corruption	B_TERM
adds	O
to	O
costs	B_TERM
,	O
both	O
to	O
the	O
community	O
and	O
for	O
companies	B_TERM
.	O
Often	O
it	O
is	O
accompanied	O
by	O
a	O
deterioration	O
of	O
quality	O
and	O
safety	O
.	O
For	O
a	O
natural	B_TERM
or	O
a	O
legal	B_TERM
person	I_TERM
,	O
corruption	B_TERM
means	O
the	O
soliciting	O
,	O
acceptance	O
or	O
receipt	O
of	O
any	O
form	O
of	O
advantage	B_TERM
,	O
in	O
an	O
official	O
context	O
,	O
to	O
gain	O
acceptance	O
for	O
a	O
given	O
practice	O
or	O
behaviour	O
.	O
It	O
is	O
also	O
the	O
offering	O
or	O
granting	O
of	O
such	O
advantage	B_TERM
to	O
induce	O
a	O
person	O
to	O
accept	O
such	O
behaviour	O
.	O
The	O
law	B_TERM
applies	O
to	O
Belgian	O
individuals	O
and	O
companies	B_TERM
active	O
both	O
in	O
Belgium	O
and	O
abroad	O
.	O
Belgium	O
also	O
makes	O
no	O
distinction	O
between	O
national	O
,	O
international	O
and	O
foreign	O
office-holders	B_TERM
.	O
It	O
makes	O
no	O
difference	O
whether	O
the	O
bribery	B_TERM
takes	O
place	O
directly	O
or	O
through	O
intermediaries	B_TERM
;	O
nor	O
whether	O
the	O
advantage	B_TERM
is	O
intended	O
for	O
oneself	O
or	O
for	O
a	O
third	B_TERM
party	I_TERM
.	O
It	O
is	O
also	O
irrelevant	O
whether	O
it	O
happens	O
in	O
the	O
public	B_TERM
or	O
the	O
private	B_TERM
sector	I_TERM
.	O
Both	O
the	O
person	O
offering	O
such	O
advantages	B_TERM
and	O
the	O
recipient	O
can	O
be	O
convicted	B_TERM
of	O
corruption	B_TERM
.	O
Therefore	O
Belgian	O
law	B_TERM
covers	O
both	O
private	B_TERM
and	O
public	B_TERM
bribery	I_TERM
and	O
both	O
active	B_TERM
and	O
passive	B_TERM
bribery	I_TERM
.	O
In	O
other	O
words	O
,	O
corruption	B_TERM
may	O
occur	O
at	O
various	O
levels	O
and	O
in	O
various	O
forms	O
.	O
All	O
these	O
forms	O
of	O
corruption	B_TERM
are	O
criminal	B_TERM
offences	I_TERM
in	O
Belgium	O
.	O
In	O
fact	O
an	O
incidental	O
condition	O
applies	O
to	O
private	B_TERM
corruption	I_TERM
:	O
it	O
must	O
have	O
taken	O
place	O
without	O
prior	O
knowledge	O
and	O
without	O
the	O
authorisation	O
of	O
,	O
depending	O
on	O
the	O
case	O
,	O
the	O
board	B_TERM
of	I_TERM
directors	I_TERM
or	O
the	O
general	B_TERM
assembly	I_TERM
,	O
the	O
principal	B_TERM
or	O
the	O
employer	O
.	O
The	O
Belgian	B_TERM
Criminal	I_TERM
Code	I_TERM
contains	O
two	O
chapters	O
of	O
importance	O
in	O
combating	B_TERM
corruption	I_TERM
.	O
They	O
are	O
Criminal	B_TERM
Code	I_TERM
Articles	O
246	O
ff.	O
,	O
which	O
concern	O
public	B_TERM
bribery	I_TERM
,	O
and	O
504bis	O
and	O
ter	O
on	O
private	B_TERM
bribery	I_TERM
.	O
Penalties	B_TERM
range	O
from	O
six	O
months	O
to	O
three	O
years	O
imprisonment	B_TERM
.	O
If	O
there	O
are	O
aggravating	B_TERM
circumstances	I_TERM
,	O
the	O
custodial	B_TERM
sentence	I_TERM
may	O
be	O
up	O
to	O
10	O
years	O
.	O
Fines	B_TERM
imposed	O
may	O
amount	O
to	O
up	O
to	O
100	O
000	O
euros	O
.	O
Criminal	B_TERM
proceedings	I_TERM
not	O
only	O
attract	O
negative	O
publicity	O
.	O
A	O
legal	B_TERM
person	I_TERM
may	O
also	O
be	O
struck	O
off	O
the	O
list	O
of	O
contractors	B_TERM
eligible	O
for	O
government	B_TERM
contracts	I_TERM
.	O
In	O
Belgium	O
,	O
anyway	O
,	O
companies	B_TERM
are	O
debarred	O
from	O
awards	O
of	O
public	B_TERM
contracts	I_TERM
if	O
they	O
have	O
been	O
convicted	B_TERM
of	O
criminal	B_TERM
conspiracy	I_TERM
,	O
bribery	B_TERM
,	O
fraud	B_TERM
,	O
money	B_TERM
laundering	I_TERM
or	O
any	O
other	O
misdemeanour	B_TERM
which	O
,	O
by	O
nature	O
,	O
represents	O
a	O
violation	O
of	O
professional	B_TERM
ethics	I_TERM
.	O
Other	O
actions	O
are	O
also	O
punishable	B_TERM
.	O
Thus	O
Article	O
314	O
of	O
the	O
Criminal	B_TERM
Code	I_TERM
punishes	B_TERM
restriction	O
of	O
the	O
freedom	B_TERM
of	I_TERM
bidding	I_TERM
or	O
of	O
registration	B_TERM
for	I_TERM
transfers	I_TERM
of	I_TERM
ownership	I_TERM
,	O
usufruct	B_TERM
or	O
leasing	O
of	O
movable	B_TERM
or	O
immovable	B_TERM
property	I_TERM
of	O
a	O
company	B_TERM
,	O
of	O
a	O
supply	O
etc.	O
with	O
15	O
days	O
to	O
six	O
months	O
imprisonment	B_TERM
and	O
a	O
fine	B_TERM
of	O
100	O
to	O
3000	O
euros	O
.	O
The	O
tax	B_TERM
legislation	I_TERM
also	O
specifies	O
that	O
each	O
count	B_TERM
of	I_TERM
corruption	I_TERM
,	O
liable	B_TERM
to	O
prosecution	B_TERM
under	O
the	O
Criminal	B_TERM
Code	I_TERM
,	O
both	O
for	O
a	O
natural	B_TERM
and	O
for	O
a	O
legal	B_TERM
person	I_TERM
,	O
can	O
not	O
be	O
deducted	B_TERM
from	O
the	O
basis	B_TERM
of	I_TERM
tax	I_TERM
assessment	I_TERM
.	O
Ex	B_TERM
officio	I_TERM
,	O
a	O
separate	O
amount	O
of	O
309	O
%	O
of	O
the	O
value	O
of	O
the	O
count	B_TERM
of	I_TERM
corruption	I_TERM
is	O
levied	B_TERM
on	O
the	O
corporate	B_TERM
taxpayer	I_TERM
.	O
Plus	O
the	O
statutory	B_TERM
'	O
additional	B_TERM
tenths	I_TERM
'	O
.	O
The	O
fine	B_TERM
can	O
either	O
be	O
imposed	O
cumulatively	O
with	O
the	O
penalty	B_TERM
of	I_TERM
imprisonment	I_TERM
,	O
or	O
separately	O
.	O
Article	O
8	O
of	O
the	O
Law	B_TERM
of	O
10	O
February	O
1999	O
concerning	O
Penalties	B_TERM
for	O
Corruption	B_TERM
,	O
Moniteur	O
Belge	O
,	O
23	O
March	O
1999	O
.	O
Article	O
11	O
of	O
the	O
Royal	B_TERM
Decree	I_TERM
of	O
23	O
November	O
2007	O
in	O
amendment	O
of	O
the	O
Law	B_TERM
of	O
24	O
December	O
1993	O
on	O
Government	B_TERM
Contracts	I_TERM
and	O
Certain	O
Contracting	B_TERM
of	O
Works	O
,	O
Supplies	O
and	O
Services	O
and	O
Certain	O
Royal	B_TERM
Decrees	I_TERM
Implementing	O
this	O
Law	B_TERM
,	O
Moniteur	O
Belge	O
,	O
7	O
December	O
2007	O
.	O
Plus	O
statutory	B_TERM
'	O
additional	B_TERM
tenths	I_TERM
'	O
.	O
Article	O
219	O
of	O
the	O
1992	O
Income	B_TERM
Tax	I_TERM
Law	I_TERM
.	O
What	O
can	O
companies	B_TERM
do	O
?	O
Corruption	B_TERM
is	O
one	O
of	O
the	O
main	O
barriers	O
to	O
companies	B_TERM
operating	O
on	O
foreign	O
markets	B_TERM
.	O
Depending	O
on	O
the	O
sector	O
and	O
the	O
country	O
,	O
there	O
is	O
a	O
chance	O
of	O
coming	O
into	O
contact	O
with	O
corrupt	B_TERM
behaviour	I_TERM
sooner	O
or	O
later	O
.	O
It	O
is	O
therefore	O
as	O
well	O
to	O
be	O
properly	O
prepared	O
for	O
it	O
.	O
This	O
brochure	O
offers	O
a	O
number	O
of	O
tips	O
on	O
how	O
to	O
avoid	O
and	O
counter	O
corrupt	B_TERM
practices	I_TERM
.	O
Codes	B_TERM
of	I_TERM
conduct	I_TERM
forbid	O
corruption	B_TERM
,	O
irrespective	O
of	O
its	O
intended	O
purpose	O
.	O
Therefore	O
the	O
scope	O
of	O
this	O
prohibition	B_TERM
is	O
wider	O
than	O
winning	O
or	O
keeping	O
a	O
market	B_TERM
.	O
It	O
applies	O
not	O
only	O
to	O
commission	B_TERM
payments	B_TERM
to	O
officials	B_TERM
,	O
but	O
also	O
to	O
failure	O
to	O
mention	O
such	O
payments	B_TERM
in	O
subcontracts	B_TERM
,	O
consultancy	O
agreements	O
,	O
contracts	B_TERM
of	O
'	O
technical	O
assistance	O
'	O
abroad	O
,	O
etc.	O
Payments	B_TERM
to	O
local	O
agents	O
must	O
be	O
limited	O
to	O
settlement	O
for	O
lawfully	B_TERM
provided	I_TERM
services	I_TERM
.	O
The	O
auditing	B_TERM
of	O
corporate	B_TERM
financial	B_TERM
statements	I_TERM
must	O
avoid	O
non-transparent	B_TERM
or	O
off-books	B_TERM
accounting	I_TERM
.	O
Compliance	B_TERM
with	O
the	O
rules	B_TERM
on	O
funding	B_TERM
of	O
political	B_TERM
parties	I_TERM
is	O
required	O
,	O
and	O
companies	B_TERM
'	O
managerial	O
or	O
controlling	O
organs	O
must	O
be	O
informed	O
of	O
accounting	B_TERM
irregularities	I_TERM
detected	O
.	O
The	O
main	O
measures	O
constituting	O
good	O
management	O
can	O
be	O
set	O
forth	O
in	O
codes	B_TERM
of	I_TERM
conduct	I_TERM
.	O
Nevertheless	O
,	O
the	O
best	O
signal	O
to	O
a	O
company	B_TERM
's	O
staff	O
is	O
the	O
example	O
set	O
by	O
its	O
managers	O
.	O
Besides	O
,	O
sometimes	O
it	O
is	O
difficult	O
to	O
distinguish	O
between	O
corruption	B_TERM
and	O
normal	O
business	B_TERM
contacts	I_TERM
.	O
Grey	B_TERM
areas	I_TERM
do	O
exist	O
,	O
in	O
which	O
special	O
attention	O
must	O
be	O
paid	B_TERM
to	O
resolving	O
awkward	O
situations	O
.	O
Trading	B_TERM
with	O
Saddam	O
Hussein	O
's	O
Iraq	O
was	O
highly	O
profitable	O
,	O
but	O
could	O
also	O
have	O
serious	O
consequences	O
,	O
both	O
for	O
the	O
company	B_TERM
's	O
reputation	O
and	O
in	O
criminal	B_TERM
law	I_TERM
.	O
Moreover	O
,	O
commission	B_TERM
had	O
to	O
be	O
paid	B_TERM
to	O
Iraqi	O
officials	B_TERM
and	O
their	O
intermediaries	B_TERM
.	O
Belgium	O
punishes	B_TERM
the	O
bribing	B_TERM
of	O
both	O
foreign	O
officials	B_TERM
and	O
people	O
acting	O
for	O
a	O
Belgian	O
government	B_TERM
department	O
.	O
The	O
OECD	O
(	O
Organisation	O
for	O
Economic	B_TERM
Cooperation	O
and	O
Development	O
)	O
carries	O
out	O
assessments	O
to	O
ensure	O
that	O
national	O
governments	B_TERM
really	O
implement	O
the	O
1997	O
anti-bribery	B_TERM
convention	I_TERM
.	O
Regrettably	O
,	O
too	O
few	O
companies	B_TERM
have	O
so	O
far	O
followed	O
these	O
good	O
practices	O
.	O
Recognize	O
alarm	O
signals	O
and	O
watch	O
out	O
for	O
risks	O
That	O
corruption	B_TERM
and	O
/	O
or	O
extortion	B_TERM
by	O
tactless	B_TERM
civil	B_TERM
servants	I_TERM
or	O
other	O
persons	O
can	O
take	O
various	O
forms	O
and	O
cause	O
difficulties	O
to	O
companies	B_TERM
is	O
abundantly	O
clear	O
from	O
the	O
following	O
examples	O
.	O
Consequently	O
it	O
's	O
important	O
to	O
detect	O
the	O
warning	O
signs	O
at	O
an	O
early	O
stage	O
in	O
order	O
to	O
minimize	O
the	O
risks	O
as	O
much	O
as	O
possible	O
.	O
A	O
few	O
dollars	O
inside	O
my	O
passport	O
make	O
sure	O
I	O
incur	O
no	O
risk	O
of	O
having	O
to	O
stay	O
an	O
hour	O
longer	O
at	O
the	O
airport	O
while	O
the	O
authorities	B_TERM
there	O
check	O
my	O
papers	O
.	O
My	O
Purchasing	B_TERM
Director	I_TERM
has	O
concluded	O
a	O
secret	O
agreement	O
with	O
a	O
supplier	O
,	O
who	O
is	O
systematically	O
selected	O
to	O
provide	O
the	O
products	O
which	O
I	O
deliver	O
to	O
my	O
branches	O
.	O
There	O
are	O
two	O
possibilities	O
:	O
I	O
discreetly	O
give	O
this	O
director	O
the	O
push	O
,	O
so	O
that	O
he	O
has	O
a	O
field	O
day	O
with	O
the	O
competition	B_TERM
,	O
or	O
I	O
take	O
legal	B_TERM
action	I_TERM
against	O
him	O
,	O
without	O
fear	O
of	O
publicity	O
.	O
My	O
company	B_TERM
should	O
demonstrate	O
that	O
it	O
is	O
committed	O
to	O
the	O
price	B_TERM
I	O
charge	O
the	O
consumer	O
,	O
without	O
unnecessary	O
and	O
counter-productive	O
commission	B_TERM
.	O
I	O
know	O
that	O
the	O
leaders	O
of	O
a	O
certain	O
country	O
cream	B_TERM
something	I_TERM
off	I_TERM
payments	I_TERM
for	O
the	O
supply	O
of	O
commodities	O
.	O
Should	O
I	O
co-operate	O
with	O
my	O
colleagues	O
from	O
other	O
countries	O
to	O
show	O
them	O
that	O
these	O
practices	O
belong	O
to	O
the	O
past	O
?	O
No-one	O
obliges	O
me	O
to	O
do	O
business	B_TERM
with	O
them	O
.	O
I	O
go	O
to	O
a	O
sunny	O
destination	O
(	O
Madrid	O
/	O
Rome	O
/	O
San	O
Francisco	O
)	O
with	O
the	O
director	O
of	O
a	O
public	B_TERM
institution	I_TERM
for	O
my	O
latest	O
product	O
launch	O
.	O
We	O
spend	O
the	O
whole	O
week	O
on	O
the	O
tests	O
.	O
Why	O
do	O
n't	O
I	O
invite	O
him	O
/	O
her	O
to	O
view	O
my	O
new	O
equipment	O
in	O
the	O
nearest	O
Belgian	O
factory	O
?	O
You	O
should	O
also	O
bear	O
in	O
mind	O
some	O
possible	O
penalties	B_TERM
,	O
in	O
addition	O
to	O
criminal	B_TERM
prosecution	I_TERM
,	O
which	O
you	O
may	O
incur	O
if	O
you	O
act	O
this	O
way	O
.	O
The	O
World	O
Bank	B_TERM
may	O
add	O
you	O
to	O
a	O
blacklist	B_TERM
of	O
companies	B_TERM
and	O
/	O
or	O
individuals	O
,	O
which	O
it	O
consults	O
in	O
connection	O
with	O
various	O
markets	B_TERM
which	O
receive	O
subsidies	B_TERM
or	O
development	B_TERM
aid	I_TERM
.	O
The	O
European	O
Union	O
may	O
suspend	O
payments	B_TERM
of	O
subsidies	B_TERM
to	O
the	O
programme	O
with	O
which	O
you	O
co-operate	O
.	O
You	O
should	O
not	O
forget	O
,	O
either	O
,	O
that	O
corruption	B_TERM
can	O
be	O
infectious	O
.	O
If	O
it	O
becomes	O
known	O
in	O
your	O
company	B_TERM
that	O
you	O
are	O
bribing	B_TERM
officials	B_TERM
,	O
this	O
increases	O
the	O
temptation	O
to	O
embezzle	B_TERM
the	O
company	B_TERM
's	O
assets	B_TERM
or	O
succumb	O
to	O
bribery	B_TERM
in	O
individuals	O
'	O
own	O
fields	O
of	O
activity	O
.	O
The	O
converse	O
is	O
also	O
true	O
if	O
an	O
example	O
of	O
ethical	B_TERM
behaviour	I_TERM
is	O
set	O
.	O
Once	O
corrupt	B_TERM
,	O
always	O
corrupt	B_TERM
?	O
If	O
you	O
compromise	B_TERM
yourself	O
by	O
fraud	B_TERM
,	O
you	O
end	O
up	O
in	O
a	O
vulnerable	O
position	O
:	O
when	O
there	O
is	O
no	O
way	O
back	O
,	O
it	O
becomes	O
difficult	O
to	O
stop	O
paying	B_TERM
slush	B_TERM
money	I_TERM
without	O
exposing	O
yourself	O
to	O
blackmail	B_TERM
.	O
In	O
the	O
event	O
of	O
a	O
commercial	B_TERM
dispute	I_TERM
,	O
resulting	O
in	O
termination	B_TERM
of	I_TERM
a	I_TERM
contract	I_TERM
,	O
it	O
is	O
not	O
possible	O
to	O
reclaim	B_TERM
amounts	O
which	O
,	O
by	O
law	B_TERM
,	O
do	O
not	O
exist	O
...	O
Take	O
action	O
:	O
what	O
can	O
a	O
company	B_TERM
do	O
in	O
practice	O
?	O
Find	O
out	O
for	O
yourself	O
Keeping	O
informed	O
is	O
a	O
good	O
start	O
.	O
Information	O
is	O
the	O
first	O
and	O
best	O
weapon	O
in	O
the	O
effort	O
which	O
companies	B_TERM
should	O
make	O
daily	O
to	O
combat	O
corrupt	B_TERM
business	I_TERM
practices	I_TERM
.	O
This	O
brochure	O
lists	O
some	O
Belgian	O
and	O
international	O
websites	O
which	O
supplement	O
this	O
information	O
.	O
For	O
example	O
,	O
take	O
a	O
look	O
at	O
the	O
ICC	O
Rules	B_TERM
of	I_TERM
Conduct	I_TERM
and	O
Recommendations	O
for	O
Combating	O
Extortion	B_TERM
and	O
Bribery	B_TERM
,	O
compiled	O
by	O
the	O
ICC	O
,	O
an	O
employers	B_TERM
'	I_TERM
organization	I_TERM
.	O
These	O
can	O
be	O
described	O
as	O
a	O
method	O
of	O
self-regulation	O
,	O
in	O
which	O
the	O
basic	O
rules	B_TERM
of	O
prevention	O
of	O
corruption	B_TERM
by	O
companies	B_TERM
are	O
explained	O
.	O
Although	O
they	O
have	O
no	O
legal	B_TERM
status	I_TERM
,	O
these	O
ICC	O
Rules	B_TERM
of	I_TERM
Conduct	I_TERM
outline	O
the	O
most	O
sound	O
business	B_TERM
practices	I_TERM
.	O
These	O
Rules	B_TERM
of	I_TERM
Conduct	I_TERM
make	O
it	O
easier	O
for	O
companies	B_TERM
to	O
fulfil	O
their	O
statutory	B_TERM
obligations	O
and	O
responsibilities	O
.	O
The	O
ICC	O
also	O
has	O
another	O
important	O
tool	O
at	O
its	O
disposal	O
:	O
Fighting	B_TERM
Corruption	I_TERM
:	O
International	O
Corporate	B_TERM
Integrity	B_TERM
Handbook	O
.	O
This	O
ICC	O
publication	O
(	O
No.	O
678	O
,	O
2008	O
edition	O
)	O
seeks	O
to	O
help	O
international	O
companies	B_TERM
obey	O
the	O
ICC	O
Rules	B_TERM
and	O
act	O
on	O
the	O
1997	O
OECD	O
Convention	O
on	O
Combating	O
Bribery	B_TERM
of	O
Foreign	O
Public	B_TERM
Officials	I_TERM
in	O
International	O
Business	B_TERM
Transactions	I_TERM
.	O
The	O
ICC	O
in	O
Belgium	O
has	O
also	O
published	O
French	O
and	O
Dutch	O
versions	O
of	O
a	O
brochure	O
:	O
'	O
Hoe	O
corruptie	O
voorkomen	O
?	O
'	O
/	O
'	O
Comment	O
prévenir	O
la	O
corruption	O
?	O
'	O
.	O
The	O
brochure	O
is	O
a	O
practical	O
guide	O
to	O
businesses	B_TERM
facing	O
attempted	O
corruption	B_TERM
.	O
Its	O
suggestions	O
to	O
companies	B_TERM
include	O
establishing	O
a	O
code	B_TERM
of	I_TERM
conduct	I_TERM
and	O
briefing	O
their	O
employees	O
about	O
it	O
.	O
The	O
website	O
of	O
the	O
NGO	B_TERM
,	O
Transparency	B_TERM
International	O
,	O
lists	O
examples	O
of	O
corporate	B_TERM
initiatives	O
against	O
corruption	B_TERM
:	O
the	O
Transparency	B_TERM
International	O
Business	B_TERM
Principles	O
for	O
major	O
international	O
companies	B_TERM
and	O
the	O
SME	B_TERM
edition	O
for	O
small	B_TERM
and	I_TERM
medium-sized	I_TERM
enterprises11	I_TERM
.	O
The	O
Belgian	O
Network	O
of	O
Transparency	B_TERM
International	O
also	O
holds	O
courses	O
and	O
can	O
provide	O
advice	O
on	O
combating	B_TERM
corruption	I_TERM
.	O
Another	O
invaluable	O
source	O
of	O
information	O
is	O
the	O
Fighting	B_TERM
Corruption	I_TERM
through	O
Collective	O
Action	O
Guide	O
,	O
available	O
at	O
the	O
website	O
of	O
the	O
World	O
Bank	B_TERM
.	O
Take	O
action	O
It	O
is	O
important	O
not	O
to	O
stand	O
back	O
in	O
the	O
fight	B_TERM
against	I_TERM
corruption	I_TERM
.	O
Do	O
take	O
action	O
,	O
both	O
preventive	O
and	O
reactive	O
.	O
Think	O
about	O
strategy	O
for	O
tackling	O
corruption	B_TERM
in	O
your	O
department	O
or	O
company	B_TERM
.	O
What	O
are	O
your	O
weak	O
points	O
?	O
On	O
what	O
front	O
do	O
you	O
run	O
risks	O
,	O
and	O
how	O
do	O
you	O
think	O
you	O
might	O
cope	O
with	O
delicate	O
situations	O
?	O
So	O
you	O
should	O
be	O
able	O
to	O
make	O
sound	O
decisions	O
,	O
with	O
sufficient	O
time	O
for	O
reflection	O
,	O
and	O
without	O
having	O
to	O
meet	O
a	O
crisis	O
situation	O
head-on	O
.	O
Your	O
measures	O
should	O
depend	O
on	O
your	O
company	B_TERM
's	O
size	O
and	O
the	O
degree	O
of	O
its	O
exposure	O
to	O
such	O
risk	O
countries	O
or	O
sectors	O
.	O
If	O
you	O
control	O
all	O
areas	O
of	O
your	O
small	O
business	B_TERM
,	O
the	O
risk	O
is	O
therefore	O
smaller	O
.	O
If	O
you	O
are	O
already	O
aware	O
of	O
corruption-related	B_TERM
issues	O
,	O
you	O
should	O
also	O
raise	O
the	O
awareness	O
of	O
your	O
staff	O
.	O
Ways	O
of	O
doing	O
this	O
include	O
codes	B_TERM
of	I_TERM
conduct	I_TERM
and	O
transparent	B_TERM
procurement	B_TERM
and	O
market	B_TERM
procedures	I_TERM
.	O
Other	O
methods	O
are	O
to	O
identify	O
posts	O
which	O
entail	O
corruption	B_TERM
risks	I_TERM
and	O
screen	O
candidates	O
for	O
these	O
carefully	O
.	O
Hold	O
regular	O
integrity	B_TERM
courses	O
with	O
your	O
staff	O
.	O
Allocate	O
and	O
pay	B_TERM
your	O
staff	O
an	O
adequate	O
salary	B_TERM
,	O
anticipating	O
future	O
trends	O
.	O
You	O
might	O
draw	O
up	O
a	O
checklist	O
of	O
risks	O
of	O
bribery	B_TERM
inherent	O
to	O
your	O
company	B_TERM
's	O
business	B_TERM
,	O
write	O
a	O
manual	O
of	O
best	O
practices	O
,	O
a	O
code	B_TERM
of	I_TERM
conduct	I_TERM
,	O
etc.	O
Another	O
powerful	O
tool	O
against	O
corruption	B_TERM
is	O
to	O
provide	O
systematic	O
protection	O
for	O
people	O
who	O
report	B_TERM
facts	O
within	O
your	O
company	B_TERM
.	O
The	O
main	O
NGO	B_TERM
dealing	O
with	O
corruption	B_TERM
is	O
called	O
-	O
aptly	O
enough	O
-	O
transparency	B_TERM
International	O
.	O
Corruption	B_TERM
occurs	O
behind	O
closed	O
doors	O
.	O
That	O
is	O
why	O
clear	O
procedures	O
and	O
the	O
principle	O
of	O
double-checking	B_TERM
are	O
important	O
.	O
Rotation	O
of	O
the	O
most	O
exposed	O
positions	O
may	O
also	O
be	O
set	O
up	O
.	O
Watch	O
out	O
Finally	O
,	O
ensure	O
that	O
the	O
established	O
procedures	O
and	O
your	O
set	O
rules	B_TERM
of	O
good	O
management	O
are	O
followed	O
.	O
If	O
they	O
are	O
not	O
implemented	O
in	O
practice	O
,	O
your	O
efforts	O
will	O
soon	O
become	O
redundant	O
.	O
If	O
problems	O
occur	O
,	O
seek	O
help	O
and	O
advice	O
via	O
the	O
established	O
channels	O
:	O
your	O
trade	B_TERM
organization	I_TERM
,	O
your	O
trade	B_TERM
union	I_TERM
,	O
the	O
Federation	O
of	O
Enterprises	B_TERM
in	O
Belgium	O
(	O
FEB	O
)	O
,	O
the	O
Chamber	O
of	O
Commerce	B_TERM
,	O
the	O
(	O
police	B_TERM
and	O
judicial	B_TERM
)	O
authorities	B_TERM
,	O
etc.	O
Please	O
do	O
n't	O
forget	O
:	O
your	O
co-operation	O
is	O
very	O
important	O
to	O
us	O
.	O
The	O
departments	B_TERM
of	I_TERM
government	I_TERM
can	O
not	O
act	O
alone	O
in	O
the	O
fight	B_TERM
against	I_TERM
corruption	I_TERM
.	O
What	O
is	O
Belgium	O
doing	O
against	O
corruption	B_TERM
?	O
At	O
international	O
level	O
The	O
internationalization	O
of	O
trade	B_TERM
and	O
the	O
expansion	O
of	O
the	O
European	O
Union	O
have	O
led	O
to	O
growing	O
realization	O
that	O
corruption	B_TERM
is	O
a	O
phenomenon	O
which	O
needs	O
to	O
be	O
tackled	O
internationally	O
.	O
That	O
is	O
why	O
there	O
is	O
support	O
for	O
Community	O
rules	B_TERM
which	O
adopt	O
a	O
cross-border	O
approach	O
to	O
corruption	B_TERM
.	O
This	O
means	O
that	O
penalties	B_TERM
are	O
no	O
longer	O
limited	O
to	O
one	O
's	O
own	O
national	O
officials	B_TERM
and	O
/	O
or	O
persons	O
and	O
companies	B_TERM
,	O
but	O
also	O
apply	O
to	O
corruption	B_TERM
of	O
foreign	O
officials	B_TERM
and	O
/	O
or	O
persons	O
and	O
companies	B_TERM
.	O
Belgian	O
companies	B_TERM
which	O
are	O
engaged	O
on	O
the	O
international	B_TERM
market	I_TERM
must	O
therefore	O
be	O
aware	O
that	O
corrupt	B_TERM
behaviour	I_TERM
will	O
not	O
be	O
tolerated	O
either	O
in	O
domestic	O
or	O
international	O
trade	B_TERM
.	O
They	O
have	O
to	O
realize	O
that	O
they	O
may	O
be	O
held	O
criminally	B_TERM
liable	I_TERM
for	O
corrupt	B_TERM
practices	I_TERM
abroad	O
as	O
well	O
.	O
The	O
main	O
international	O
initiatives	O
and	O
processes	O
are	O
summarized	O
below	O
.	O
The	O
United	O
Nations	O
Convention	O
against	O
Corruption	B_TERM
,	O
of	O
31	O
October	O
2003	O
,	O
came	O
into	O
force	O
in	O
December	O
2005	O
.	O
This	O
is	O
the	O
first	O
