TOKEN	NE-COARSE-LIT	MISC
verschillende	O	
niveaus	O	
en	O	
onder	O	
verschillende	O	
vormen	O	
.	O	
Al	O	
deze	O	
vormen	O	
van	O	
corruptie	B-TERM	
zijn	O	
strafbaar	B-TERM	
in	O	
België	B-TERM	
.	O	
Voor	O	
de	O	
private	B-TERM	
corruptie	I-TERM	
is	O	
weliswaar	O	
een	O	
bijkomende	O	
voorwaarde	O	
vereist	O	
:	O	
de	O	
omkoping	B-TERM	
moet	O	
zonder	O	
medeweten	O	
en	O	
zonder	O	
machtiging	O	
van	O	
de	O	
raad	B-TERM	
van	I-TERM	
bestuur	I-TERM	
of	O	
de	O	
algemene	B-TERM	
vergadering	I-TERM	
,	O	
de	O	
lastgever	B-TERM	
of	O	
de	O	
werkgever	O	
gebeuren	O	
.	O	
Het	O	
Belgische	B-TERM	
Strafwetboek	I-TERM	
bevat	O	
twee	O	
hoofdstukken	O	
die	O	
van	O	
belang	O	
zijn	O	
in	O	
de	O	
strijd	B-TERM	
tegen	I-TERM	
corruptie	I-TERM	
:	O	
de	O	
artikelen	O	
246	O	
e.v.	O	
van	O	
het	O	
Strafwetboek	B-TERM	
betreffende	O	
de	O	
publieke	B-TERM	
omkoping	I-TERM	
en	O	
de	O	
artikelen	O	
504bis	O	
en	O	
ter	O	
voor	O	
wat	O	
betreft	O	
de	O	
private	B-TERM	
omkoping	I-TERM	
.	O	
Straffen	B-TERM	
kunnen	O	
gaan	O	
van	O	
zes	O	
maanden	O	
tot	O	
drie	O	
jaar	O	
gevangenisstraf	B-TERM	
en	O	
mits	O	
verzwarende	B-TERM	
omstandigheden	I-TERM	
zelfs	O	
tot	O	
tien	O	
jaar	O	
.	O	
Qua	O	
geldboete	B-TERM	
kunnen	O	
sommen	B-TERM	
gevorderd	B-TERM	
worden	O	
tot	O	
100	O	
000	O	
euro	O	
.	O	
Naast	O	
de	O	
negatieve	O	
publiciteit	O	
van	O	
een	O	
strafproces	B-TERM	
,	O	
kan	O	
een	O	
rechtspersoon	B-TERM	
ook	O	
van	O	
de	O	
lijst	O	
met	O	
erkende	O	
bedrijven	B-TERM	
voor	O	
overheidsopdrachten	B-TERM	
worden	O	
geschrapt	O	
.	O	
In	O	
België	B-TERM	
is	O	
deelnemen	O	
aan	O	
de	O	
vergunning	B-TERM	
van	O	
overheidsopdrachten	B-TERM	
immers	O	
verboden	O	
voor	O	
bedrijven	B-TERM	
die	O	
veroordeeld	B-TERM	
zijn	O	
geweest	O	
voor	O	
deelname	O	
aan	O	
een	O	
criminele	B-TERM	
organisatie	I-TERM	
,	O	
omkoping	B-TERM	
,	O	
fraude	B-TERM	
,	O	
witwassen	B-TERM	
of	O	
elk	O	
ander	O	
misdrijf	B-TERM	
dat	O	
door	O	
zijn	O	
aard	O	
de	O	
beroepsmoraal	B-TERM	
aantast	O	
.	O	
Andere	O	
handelingen	O	
zijn	O	
eveneens	O	
strafbaar	B-TERM	
.	O	
Zo	O	
is	O	
er	O	
artikel	O	
314	O	
van	O	
het	O	
Strafwetboek	B-TERM	
dat	O	
de	O	
belemmering	O	
van	O	
de	O	
vrijheid	B-TERM	
van	I-TERM	
opbod	I-TERM	
of	O	
van	O	
inschrijving	B-TERM	
bij	I-TERM	
toewijzingen	I-TERM	
van	I-TERM	
de	I-TERM	
eigendom	I-TERM	
,	O	
van	O	
het	O	
vruchtgebruik	B-TERM	
of	O	
van	O	
de	O	
huur	O	
van	O	
roerende	B-TERM	
of	O	
onroerende	B-TERM	
zaken	I-TERM	
van	O	
een	O	
onderneming	B-TERM	
,	O	
van	O	
een	O	
levering	O	
,	O	
…	O	
bestraft	B-TERM	
met	O	
een	O	
gevangenisstraf	B-TERM	
van	O	
15	O	
dagen	O	
tot	O	
zes	O	
maanden	O	
en	O	
met	O	
een	O	
geldboete	B-TERM	
van	O	
100	O	
euro	O	
tot	O	
3000	O	
euro	O	
.	O	
De	O	
fiscale	B-TERM	
wetgeving	I-TERM	
voorziet	O	
er	O	
bovendien	O	
in	O	
dat	O	
elk	O	
corruptie-element	B-TERM	
dat	O	
op	O	
basis	O	
van	O	
het	O	
Strafwetboek	B-TERM	
kan	O	
worden	O	
vervolgd	B-TERM	
,	O	
zowel	O	
voor	O	
een	O	
rechtspersoon	B-TERM	
als	O	
voor	O	
een	O	
natuurlijke	B-TERM	
persoon	I-TERM	
,	O	
niet	O	
aftrekbaar	B-TERM	
is	O	
van	O	
de	O	
belastbare	B-TERM	
basis	I-TERM	
.	O	
Ambtshalve	B-TERM	
wordt	O	
tevens	O	
een	O	
aparte	O	
bijdrage	B-TERM	
van	O	
309	O	
%	O	
van	O	
de	O	
waarde	O	
van	O	
het	O	
element	O	
aan	O	
de	O	
rechtspersoonlijke	B-TERM	
belastingbetaler	I-TERM	
opgelegd	O	
.	O	
Te	O	
vermenigvuldigen	O	
met	O	
de	O	
wettelijke	B-TERM	
opdecimes	I-TERM	
.	O	
De	O	
geldboete	B-TERM	
kan	O	
zowel	O	
cumulatief	O	
met	O	
de	O	
gevangenisstraf	B-TERM	
als	O	
apart	O	
opgelegd	O	
worden	O	
.	O	
Artikel	O	
8	O	
van	O	
de	O	
wet	B-TERM	
van	O	
10	O	
februari	O	
1999	O	
betreffende	O	
de	O	
bestraffing	B-TERM	
van	O	
corruptie	B-TERM	
,	O	
B.S.	B-TERM	
,	O	
23	O	
maart	O	
1999	O	
.	O	
Artikel	O	
11	O	
van	O	
het	O	
koninklijk	B-TERM	
besluit	I-TERM	
van	O	
23	O	
november	O	
2007	O	
tot	O	
wijziging	O	
van	O	
de	O	
wet	B-TERM	
van	O	
24	O	
december	O	
1993	O	
betreffende	O	
de	O	
overheidsopdrachten	B-TERM	
en	O	
sommige	O	
opdrachten	O	
voor	O	
aanneming	O	
van	O	
werken	O	
,	O	
leveringen	O	
en	O	
diensten	O	
en	O	
van	O	
sommige	O	
koninklijke	B-TERM	
besluiten	I-TERM	
tot	O	
uitvoering	O	
van	O	
deze	O	
wet	B-TERM	
,	O	
B.S.	B-TERM	
,	O	
7	O	
december	O	
2007	O	
.	O	
Te	O	
vermenigvuldigen	O	
met	O	
de	O	
wettelijke	B-TERM	
opdecimes	I-TERM	
.	O	
Artikel	O	
219	O	
WIB	B-TERM	
1992	O	
.	O	
Wat	O	
kunnen	O	
bedrijven	B-TERM	
doen	O	
?	O	
Corruptie	B-TERM	
is	O	
één	O	
van	O	
de	O	
belangrijkste	O	
hinderpalen	O	
voor	O	
bedrijven	B-TERM	
die	O	
op	O	
buitenlandse	O	
markten	B-TERM	
opereren	O	
.	O	
Afhankelijk	O	
van	O	
de	O	
sector	O	
en	O	
het	O	
land	O	
bestaat	O	
de	O	
kans	O	
dat	O	
men	O	
vroeg	O	
of	O	
laat	O	
met	O	
corrupt	B-TERM	
gedrag	I-TERM	
te	O	
maken	O	
krijgt	O	
.	O	
Het	O	
komt	O	
er	O	
dus	O	
op	O	
neer	O	
voldoende	O	
voorbereid	O	
te	O	
zijn	O	
.	O	
Deze	O	
brochure	O	
wil	O	
een	O	
aantal	O	
tips	O	
aanbieden	O	
over	O	
hoe	O	
men	O	
corrupte	B-TERM	
praktijken	I-TERM	
kan	O	
vermijden	O	
en	O	
bestrijden	O	
.	O	
Gedragsregels	B-TERM	
verbieden	O	
corruptie	B-TERM	
,	O	
ongeacht	O	
de	O	
nagestreefde	O	
doelstelling	O	
.	O	
Dit	O	
geldt	O	
dus	O	
niet	O	
louter	O	
voor	O	
het	O	
verkrijgen	O	
of	O	
behouden	O	
van	O	
een	O	
markt	B-TERM	
.	O	
Dit	O	
verbod	O	
omvat	O	
niet	O	
alleen	O	
de	O	
betaling	B-TERM	
van	O	
commissies	B-TERM	
aan	O	
ambtenaren	B-TERM	
,	O	
maar	O	
ook	O	
hun	O	
geheimhouding	B-TERM	
in	O	
contracten	B-TERM	
van	O	
onderaanneming	B-TERM	
,	O	
consulting	O	
,	O	
'	O	
technische	O	
bijstand	O	
'	O	
in	O	
het	O	
buitenland	O	
,	O	
…	O	
De	O	
betaling	B-TERM	
van	O	
vertegenwoordigers	O	
ter	O	
plaatse	O	
zou	O	
zich	O	
moeten	O	
beperken	O	
tot	O	
de	O	
betaling	B-TERM	
van	O	
rechtmatige	B-TERM	
diensten	I-TERM	
.	O	
De	O	
controle	O	
van	O	
de	O	
bedrijfsrekeningen	B-TERM	
moet	O	
duistere	B-TERM	
of	O	
buitenboekhoudkundige	B-TERM	
rekeningen	I-TERM	
vermijden	O	
.	O	
De	O	
reglementering	B-TERM	
inzake	O	
de	O	
financiering	B-TERM	
van	I-TERM	
politieke	I-TERM	
partijen	I-TERM	
moet	O	
worden	O	
nageleefd	O	
en	O	
de	O	
directie-	O	
of	O	
controle-instanties	O	
van	O	
de	O	
bedrijven	B-TERM	
moeten	O	
van	O	
vastgestelde	O	
boekhoudkundige	B-TERM	
anomalieën	I-TERM	
op	O	
de	O	
hoogte	O	
worden	O	
gesteld	O	
.	O	
De	O	
belangrijkste	O	
maatregelen	O	
van	O	
goed	B-TERM	
bestuur	I-TERM	
kunnen	O	
in	O	
deontologische	B-TERM	
codes	I-TERM	
worden	O	
opgenomen	O	
.	O	
Het	O	
beste	O	
signaal	O	
naar	O	
het	O	
bedrijfspersoneel	B-TERM	
blijft	O	
evenwel	O	
het	O	
door	O	
de	O	
bestuurders	B-TERM	
gestelde	O	
voorbeeld	O	
.	O	
Het	O	
is	O	
immers	O	
soms	O	
moeilijk	O	
een	O	
onderscheid	O	
te	O	
maken	O	
tussen	O	
corruptie	B-TERM	
en	O	
normale	O	
zakencontacten	B-TERM	
.	O	
Er	O	
bestaan	O	
grijze	B-TERM	
zones	I-TERM	
waar	O	
bijzondere	O	
aandacht	O	
naar	O	
moet	O	
uitgaan	O	
om	O	
delicate	O	
situaties	O	
op	O	
te	O	
lossen	O	
.	O	
Handel	B-TERM	
drijven	O	
met	O	
het	O	
Irak	B-TERM	
van	O	
Saddam	B-TERM	
Hussein	I-TERM	
kon	O	
veel	O	
geld	B-TERM	
opbrengen	O	
,	O	
maar	O	
ook	O	
zware	O	
gevolgen	O	
hebben	O	
,	O	
zowel	O	
voor	O	
de	O	
reputatie	O	
van	O	
het	O	
bedrijf	B-TERM	
als	O	
op	O	
strafrechtelijk	B-TERM	
vlak	O	
.	O	
Daarbovenop	O	
waren	O	
er	O	
ook	O	
de	O	
commissies	B-TERM	
die	O	
aan	O	
de	O	
Iraakse	O	
beambten	B-TERM	
en	O	
hun	O	
tussenpersonen	B-TERM	
dienden	O	
te	O	
worden	O	
betaald	B-TERM	
.	O	
België	B-TERM	
bestraft	B-TERM	
het	O	
omkopen	B-TERM	
van	O	
zowel	O	
buitenlandse	O	
ambtenaren	B-TERM	
als	O	
personen	O	
die	O	
instaan	O	
voor	O	
een	O	
Belgische	O	
openbare	B-TERM	
dienst	I-TERM	
.	O	
Door	O	
het	O	
uitvoeren	O	
van	O	
evaluatieopdrachten	B-TERM	
,	O	
ziet	O	
de	O	
OESO	B-TERM	
(	O	
Organisatie	B-TERM	
voor	I-TERM	
Economische	I-TERM	
Samenwerking	I-TERM	
en	I-TERM	
Ontwikkeling	I-TERM	
)	O	
er	O	
op	O	
toe	O	
dat	O	
de	O	
nationale	O	
overheden	B-TERM	
de	O	
anticorruptieovereenkomst	B-TERM	
van	O	
1997	O	
daadwerkelijk	O	
toepassen	O	
.	O	
Spijtig	O	
genoeg	O	
werden	O	
te	O	
weinig	O	
bedrijven	B-TERM	
totnogtoe	O	
gewezen	O	
op	O	
de	O	
goede	O	
praktijken	O	
.	O	
Herken	O	
alarmsignalen	O	
en	O	
pas	O	
op	O	
voor	O	
de	O	
risico's	O	
Onderstaande	O	
voorbeelden	O	
maken	O	
duidelijk	O	
dat	O	
corruptie	B-TERM	
en	O	
/	O	
of	O	
afpersing	B-TERM	
vanwege	O	
tactloze	B-TERM	
ambtenaren	B-TERM	
of	O	
andere	O	
personen	O	
vele	O	
vormen	O	
kan	O	
aannemen	O	
en	O	
bedrijven	B-TERM	
voor	O	
moeilijke	O	
situaties	O	
kan	O	
plaatsen	O	
.	O	
Daarom	O	
is	O	
het	O	
belangrijk	O	
de	O	
alarmsignalen	O	
in	O	
een	O	
vroeg	O	
stadium	O	
te	O	
herkennen	O	
zodat	O	
risicovolle	O	
situaties	O	
zo	O	
veel	O	
mogelijk	O	
vermeden	O	
kunnenworden	O	
.	O	
Enkele	O	
dollars	O	
in	O	
mijn	O	
paspoort	O	
zorgen	O	
er	O	
voor	O	
dat	O	
ik	O	
niet	O	
het	O	
risico	O	
loop	O	
een	O	
uur	O	
langer	O	
in	O	
de	O	
luchthaven	O	
te	O	
moeten	O	
blijven	O	
totdat	O	
de	O	
lokale	O	
overheden	B-TERM	
mijn	O	
papieren	O	
checken	O	
.	O	
Mijn	O	
aankoopdirecteur	B-TERM	
heeft	O	
een	O	
geheim	O	
akkoord	O	
gesloten	O	
met	O	
een	O	
leverancier	O	
die	O	
stelselmatig	O	
wordt	O	
gekozen	O	
voor	O	
de	O	
producten	O	
die	O	
ik	O	
aan	O	
mijn	O	
filialen	O	
lever	O	
.	O	
Er	O	
zijn	O	
twee	O	
mogelijkheden	O	
:	O	
ik	O	
schuif	O	
deze	O	
directeur	O	
discreet	O	
opzij	O	
waardoor	O	
hij	O	
bij	O	
de	O	
concurrentie	B-TERM	
hoogtij	O	
zal	O	
vieren	O	
of	O	
ik	O	
dien	O	
klacht	B-TERM	
in	O	
tegen	O	
hem	O	
zonder	O	
vrees	O	
voor	O	
eender	O	
welke	O	
publiciteit	O	
.	O	
Mijn	O	
bedrijf	B-TERM	
zal	O	
aantonen	O	
dat	O	
het	O	
begaan	O	
is	O	
met	O	
de	O	
prijs	B-TERM	
die	O	
ik	O	
de	O	
consument	O	
laat	O	
betalen	B-TERM	
zonder	O	
onnodige	O	
en	O	
contraproductieve	O	
commissie	B-TERM	
.	O	
Ik	O	
weet	O	
dat	O	
de	O	
leiders	O	
van	O	
een	O	
bepaald	O	
land	O	
iets	O	
afromen	B-TERM	
op	O	
de	O	
levering	O	
van	O	
grondstoffen	O	
.	O	
Moet	O	
ik	O	
met	O	
mijn	O	
collega's	O	
uit	O	
andere	O	
landen	O	
samenwerken	O	
om	O	
hen	O	
te	O	
doen	O	
inzien	O	
dat	O	
deze	O	
praktijken	O	
tot	O	
het	O	
verleden	O	
behoren	O	
?	O	
Niemand	O	
verplicht	O	
mij	O	
ertoe	O	
handel	B-TERM	
met	O	
hen	O	
te	O	
drijven	O	
.	O	
Ik	O	
ga	O	
met	O	
de	O	
directeur	O	
van	O	
een	O	
openbare	B-TERM	
instelling	I-TERM	
naar	O	
de	O	
voorstelling	O	
van	O	
mijn	O	
nieuwste	O	
product	O	
op	O	
een	O	
zonnige	O	
bestemming	O	
(	O	
Madrid	B-TERM	
of	O	
Rome	B-TERM	
of	O	
San	B-TERM	
Francisco	I-TERM	
)	O	
en	O	
neem	O	
de	O	
volledige	O	
week	O	
voor	O	
de	O	
tests	O	
.	O	
Waarom	O	
nodig	O	
ik	O	
hem	O	
/	O	
haar	O	
niet	O	
uit	O	
om	O	
mijn	O	
nieuw	O	
materiaal	O	
in	O	
de	O	
dichtstbijzijnde	O	
Belgische	O	
fabriek	O	
te	O	
bezichtigen	O	
?	O	
Er	O	
dient	O	
ook	O	
te	O	
worden	O	
gewezen	O	
op	O	
enkele	O	
mogelijke	O	
straffen	B-TERM	
,	O	
bovenop	O	
de	O	
strafrechtelijke	B-TERM	
vervolgingen	I-TERM	
,	O	
die	O	
u	O	
kunnen	O	
worden	O	
opgelegd	O	
wanneer	O	
u	O	
op	O	
deze	O	
manier	O	
handelt	O	
.	O	
De	O	
Wereldbank	B-TERM	
kan	O	
u	O	
aan	O	
een	O	
zwarte	B-TERM	
lijst	I-TERM	
toevoegen	O	
van	O	
bedrijven	B-TERM	
en	O	
/	O	
of	O	
personen	O	
die	O	
geraadpleegd	O	
wordt	O	
voor	O	
verschillende	O	
markten	B-TERM	
die	O	
subsidies	B-TERM	
of	O	
ontwikkelingshulp	B-TERM	
krijgen	O	
.	O	
De	O	
Europese	B-TERM	
Unie	I-TERM	
kan	O	
de	O	
betaling	B-TERM	
van	O	
subsidies	B-TERM	
aan	O	
het	O	
programma	O	
waaraan	O	
u	O	
meewerkt	O	
,	O	
opschorten	O	
.	O	
U	O	
mag	O	
ook	O	
niet	O	
vergeten	O	
dat	O	
corruptie	B-TERM	
aanstekelijk	O	
kan	O	
werken	O	
.	O	
Indien	O	
het	O	
intern	O	
bekend	O	
raakt	O	
dat	O	
u	O	
ambtenaren	B-TERM	
omkoopt	B-TERM	
,	O	
dan	O	
zal	O	
de	O	
verleiding	O	
groter	O	
zijn	O	
om	O	
goederen	B-TERM	
van	O	
het	O	
bedrijf	B-TERM	
te	O	
verduisteren	B-TERM	
of	O	
zich	O	
in	O	
zijn	O	
eigen	O	
activiteitenveld	O	
te	O	
laten	O	
omkopen	B-TERM	
.	O	
Als	O	
een	O	
ethisch	B-TERM	
gedrag	I-TERM	
als	O	
voorbeeld	O	
wordt	O	
gesteld	O	
,	O	
dan	O	
geldt	O	
ook	O	
het	O	
omgekeerde	O	
.	O	
Een	O	
keer	O	
corrupt	B-TERM	
,	O	
altijd	O	
corrupt	B-TERM	
?	O	
Wanneer	O	
u	O	
zichzelf	O	
compromitteert	B-TERM	
door	O	
te	O	
frauderen	B-TERM	
,	O	
dan	O	
komt	O	
u	O	
in	O	
een	O	
kwetsbare	O	
positie	O	
terecht	O	
.	O	
Wanneer	O	
er	O	
geen	O	
weg	O	
meer	O	
terug	O	
is	O	
,	O	
dan	O	
wordt	O	
het	O	
moeilijk	O	
om	O	
geen	O	
smeergeld	B-TERM	
meer	O	
te	O	
betalen	B-TERM	
zonder	O	
chantage	B-TERM	
te	O	
moeten	O	
ondergaan	O	
.	O	
Bij	O	
een	O	
handelsgeschil	B-TERM	
dat	O	
het	O	
verbreken	B-TERM	
van	I-TERM	
het	I-TERM	
contract	I-TERM	
tot	O	
gevolg	O	
heeft	O	
,	O	
is	O	
het	O	
niet	O	
mogelijk	O	
sommen	B-TERM	
terug	B-TERM	
te	I-TERM	
eisen	I-TERM	
die	O	
wettelijk	B-TERM	
niet	O	
bestaan	O	
.	O	
Actie	O	
ondernemen	O	
:	O	
wat	O	
kan	O	
een	O	
bedrijf	B-TERM	
in	O	
de	O	
praktijk	O	
doen	O	
?	O	
Informeer	O	
uzelf	O	
U	O	
informeert	O	
zich	O	
.	O	
Dat	O	
is	O	
een	O	
goed	O	
begin	O	
.	O	
Informatie	O	
is	O	
het	O	
eerste	O	
en	O	
het	O	
beste	O	
wapen	O	
in	O	
de	O	
dagdagelijkse	O	
strijd	O	
die	O	
bedrijven	B-TERM	
dienen	O	
te	O	
leveren	O	
tegen	O	
corrupte	B-TERM	
bedrijfspraktijken	I-TERM	
.	O	
Deze	O	
brochure	O	
bevat	O	
enkele	O	
(	O	
nationale	O	
en	O	
internationale	O	
)	O	
websites	O	
om	O	
deze	O	
informatie	O	
aan	O	
te	O	
vullen	O	
.	O	
Raadpleeg	O	
bijvoorbeeld	O	
de	O	
'	O	
ICC	B-TERM	
Rules	O	
of	O	
Conduct	O	
and	O	
Recommendations	O	
for	O	
Combating	O	
Extortion	O	
and	O	
Bribery	O	
'	O	
opgesteld	O	
door	O	
de	O	
internationale	O	
werkgeversorganisatie	B-TERM	
ICC	B-TERM	
.	O	
Deze	O	
kunnen	O	
omschreven	O	
worden	O	
als	O	
een	O	
methode	O	
van	O	
zelfregulering	O	
,	O	
waarbij	O	
de	O	
basisregels	O	
ter	O	
preventie	O	
van	O	
corruptie	B-TERM	
door	O	
bedrijven	B-TERM	
uit	O	
de	O	
doeken	O	
worden	O	
gedaan	O	
.	O	
Hoewel	O	
zij	O	
geen	O	
wettelijke	B-TERM	
waarde	I-TERM	
hebben	O	
,	O	
geven	O	
deze	O	
ICC	B-TERM	
gedragsregels	B-TERM	
een	O	
overzicht	O	
van	O	
de	O	
meest	O	
deugdelijke	O	
bedrijfspraktijken	B-TERM	
.	O	
Door	O	
deze	O	
gedragsregels	B-TERM	
hebben	O	
bedrijven	B-TERM	
het	O	
gemakkelijker	O	
om	O	
hun	O	
wettelijke	B-TERM	
verplichtingen	I-TERM	
en	O	
verantwoordelijkheden	O	
te	O	
vervullen	O	
.	O	
Daarenboven	O	
beschikt	O	
ICC	B-TERM	
over	O	
een	O	
andere	O	
belangrijke	O	
tool	O	
:	O	
'	O	
ICC	B-TERM	
Fighting	O	
Corruption	O	
:	O	
A	O	
Corporate	O	
Practices	O	
Manual	O	
'	O	
.	O	
Deze	O	
uitgave	O	
heeft	O	
de	O	
bedoeling	O	
internationale	O	
bedrijven	B-TERM	
te	O	
helpen	O	
om	O	
aan	O	
de	O	
ICC	B-TERM	
Rules	O	
en	O	
het	O	
OESO-verdrag	B-TERM	
ter	I-TERM	
bestrijding	I-TERM	
van	I-TERM	
omkoping	I-TERM	
van	I-TERM	
buitenlandse	I-TERM	
ambtenaren	I-TERM	
in	I-TERM	
internationale	I-TERM	
