TOKEN	NE-COARSE-LIT	MISC
.	O	
Elle	O	
consiste	O	
également	O	
à	O	
proposer	O	
ou	O	
accorder	O	
un	O	
tel	O	
avantage	B-TERM	
afin	O	
qu'	O	
une	O	
personne	O	
adopte	O	
un	O	
tel	O	
comportement	O	
.	O	
La	O	
législation	B-TERM	
s'	O	
applique	O	
aux	O	
personnes	O	
et	O	
entreprises	B-TERM	
belges	O	
,	O	
actives	O	
tant	O	
en	O	
Belgique	B-TERM	
qu'	O	
à	O	
l'	O	
étranger	O	
.	O	
La	O	
Belgique	B-TERM	
n'	O	
établit	O	
aucune	O	
distinction	O	
non	O	
plus	O	
entre	O	
les	O	
fonctionnaires	B-TERM	
nationaux	O	
,	O	
internationaux	O	
et	O	
étrangers	O	
.	O	
Peu	O	
importe	O	
que	O	
la	O	
corruption	B-TERM	
soit	O	
directe	O	
ou	O	
se	O	
produise	O	
par	O	
des	O	
intermédiaires	B-TERM	
,	O	
ou	O	
que	O	
l'	O	
avantage	B-TERM	
soit	O	
destiné	O	
à	O	
soi-même	O	
ou	O	
à	O	
un	O	
tiers	B-TERM	
.	O	
Peu	O	
importe	O	
également	O	
que	O	
les	O	
faits	O	
aient	O	
lieu	O	
dans	O	
le	O	
secteur	B-TERM	
public	I-TERM	
ou	O	
privé	B-TERM	
.	O	
La	O	
personne	O	
qui	O	
propose	O	
les	O	
avantages	B-TERM	
tout	O	
comme	O	
celle	O	
qui	O	
les	O	
accepte	O	
peuvent	O	
être	O	
condamnées	B-TERM	
pour	O	
corruption	B-TERM	
.	O	
La	O	
législation	B-TERM	
belge	O	
vise	O	
par	O	
conséquent	O	
la	O	
corruption	B-TERM	
,	O	
qu'	O	
elle	O	
soit	O	
publique	B-TERM	
ou	O	
privée	B-TERM	
,	O	
active	B-TERM	
ou	O	
passive	B-TERM	
.	O	
En	O	
d'	O	
autres	O	
termes	O	
,	O	
la	O	
corruption	B-TERM	
peut	O	
se	O	
produire	O	
à	O	
différents	O	
niveaux	O	
et	O	
sous	O	
diverses	O	
formes	O	
.	O	
Toutes	O	
ces	O	
formes	O	
de	O	
corruption	B-TERM	
sont	O	
punissables	B-TERM	
en	O	
Belgique	B-TERM	
.	O	
Une	O	
condition	O	
supplémentaire	O	
est	O	
toutefois	O	
requise	O	
pour	O	
la	O	
corruption	B-TERM	
privée	I-TERM	
:	O	
elle	O	
doit	O	
se	O	
produire	O	
à	O	
l'	O	
insu	O	
et	O	
sans	O	
l'	O	
autorisation	O	
,	O	
selon	O	
le	O	
cas	O	
,	O	
du	O	
conseil	B-TERM	
d'	I-TERM	
administration	I-TERM	
ou	O	
de	O	
l'	O	
assemblée	B-TERM	
générale	I-TERM	
,	O	
du	O	
mandant	B-TERM	
ou	O	
de	O	
l'	O	
employeur	B-TERM	
.	O	
Le	O	
Code	B-TERM	
pénal	I-TERM	
belge	I-TERM	
comprend	O	
deux	O	
chapitres	O	
importants	O	
en	O	
matière	O	
de	O	
lutte	B-TERM	
contre	I-TERM	
la	I-TERM	
corruption	I-TERM	
:	O	
les	O	
articles	O	
246	O	
et	O	
suivants	O	
concernant	O	
la	O	
corruption	B-TERM	
publique	I-TERM	
et	O	
les	O	
articles	O	
504bis	O	
et	O	
ter	O	
concernant	O	
la	O	
corruption	B-TERM	
privée	I-TERM	
.	O	
Les	O	
peines	B-TERM	
peuvent	O	
aller	O	
de	O	
six	O	
mois	O	
à	O	
trois	O	
ans	O	
d'	O	
emprisonnement	B-TERM	
,	O	
voire	O	
dix	O	
ans	O	
en	O	
cas	O	
de	O	
circonstances	B-TERM	
aggravantes	I-TERM	
.	O	
En	O	
matière	O	
d'	O	
amendes	B-TERM	
,	O	
les	O	
sommes	B-TERM	
exigées	O	
peuvent	O	
aller	O	
jusqu'	O	
à	O	
100	O	
000	O	
€	O	
.	O	
Outre	O	
la	O	
publicité	O	
négative	O	
donnée	O	
par	O	
un	O	
procès	B-TERM	
pénal	I-TERM	
,	O	
la	O	
personne	B-TERM	
morale	I-TERM	
peut	O	
être	O	
rayée	O	
de	O	
la	O	
liste	O	
des	O	
entreprises	B-TERM	
agréées	O	
pour	O	
les	O	
marchés	B-TERM	
publics	I-TERM	
.	O	
Les	O	
entreprises	B-TERM	
qui	O	
ont	O	
été	O	
condamnées	B-TERM	
pour	O	
participation	O	
à	O	
une	O	
organisation	B-TERM	
criminelle	I-TERM	
,	O	
corruption	B-TERM	
,	O	
fraude	B-TERM	
,	O	
blanchiment	B-TERM	
de	I-TERM	
capitaux	I-TERM	
ou	O	
tout	O	
autre	O	
délit	B-TERM	
affectant	O	
par	O	
sa	O	
nature	O	
la	O	
moralité	B-TERM	
professionnelle	I-TERM	
sont	O	
par	O	
ailleurs	O	
exclues	O	
de	O	
l'	O	
accès	O	
aux	O	
marchés	B-TERM	
publics	I-TERM	
.	O	
D'	O	
autres	O	
comportements	O	
sont	O	
punisables	B-TERM	
.	O	
Signalons	O	
ainsi	O	
l'	O	
article	O	
314	O	
du	O	
Code	B-TERM	
pénal	I-TERM	
qui	O	
punit	O	
d'	O	
un	O	
emprisonnement	B-TERM	
de	O	
quinze	O	
jours	O	
à	O	
six	O	
mois	O	
et	O	
d'	O	
une	O	
amende	B-TERM	
de	O	
100	O	
francs	O	
à	O	
3000	O	
francs	O	
les	O	
personnes	O	
qui	O	
auront	O	
perturbé	O	
la	O	
liberté	B-TERM	
des	I-TERM	
enchères	I-TERM	
ou	O	
des	O	
soumissions	B-TERM	
dans	I-TERM	
les	I-TERM	
adjudications	I-TERM	
de	I-TERM	
la	I-TERM	
propriété	I-TERM	
,	O	
de	O	
l'	O	
usufruit	B-TERM	
ou	O	
de	O	
la	O	
location	O	
des	O	
choses	O	
(	O	
im	O	
)	O	
mobilières	O	
d'	O	
une	O	
entreprise	B-TERM	
,	O	
d'	O	
une	O	
fourniture	O	
...	O	
La	O	
législation	B-TERM	
fiscale	I-TERM	
prévoit	O	
,	O	
en	O	
outre	O	
,	O	
que	O	
tout	O	
élément	B-TERM	
de	I-TERM	
corruption	I-TERM	
qui	O	
peut	O	
être	O	
poursuivi	B-TERM	
sur	O	
la	O	
base	O	
du	O	
Code	B-TERM	
pénal	I-TERM	
est	O	
non	O	
déductible	B-TERM	
de	O	
la	O	
base	B-TERM	
imposable	I-TERM	
que	O	
ce	O	
soit	O	
pour	O	
une	O	
personne	B-TERM	
physique	I-TERM	
ou	O	
pour	O	
une	O	
personne	B-TERM	
morale	I-TERM	
.	O	
Une	O	
cotisation	B-TERM	
distincte	O	
de	O	
309	O	
%	O	
de	O	
la	O	
valeur	O	
de	O	
l'	O	
élément	O	
est	O	
également	O	
imposée	O	
d'	O	
office	O	
au	O	
contribuable	B-TERM	
personne	I-TERM	
morale	I-TERM	
.	O	
À	O	
multiplier	O	
par	O	
les	O	
décimes	B-TERM	
additionnels	I-TERM	
légaux	I-TERM	
.	O	
L'	O	
amende	B-TERM	
peut	O	
être	O	
infligée	O	
de	O	
manière	O	
distincte	O	
ou	O	
en	O	
plus	O	
de	O	
la	O	
peine	B-TERM	
d'	I-TERM	
emprisonnement	I-TERM	
.	O	
Article	O	
8	O	
de	O	
la	O	
loi	B-TERM	
du	O	
10	O	
février	O	
1999	O	
relative	O	
à	O	
la	O	
répression	B-TERM	
de	O	
la	O	
corruption	B-TERM	
,	O	
Moniteur	B-TERM	
belge	I-TERM	
du	O	
23	O	
mars	O	
1999	O	
.	O	
Article	O	
11	O	
de	O	
l'	O	
arrêté	B-TERM	
royal	I-TERM	
du	O	
23	O	
novembre	O	
2007	O	
modifiant	O	
la	O	
loi	B-TERM	
du	O	
24	O	
décembre	O	
1993	O	
relative	O	
aux	O	
marchés	B-TERM	
publics	I-TERM	
et	O	
à	O	
certains	O	
marchés	B-TERM	
de	O	
travaux	O	
,	O	
de	O	
fournitures	O	
et	O	
de	O	
services	O	
et	O	
certains	O	
arrêtés	B-TERM	
royaux	I-TERM	
pris	O	
en	O	
exécution	O	
de	O	
cette	O	
loi	B-TERM	
,	O	
Moniteur	B-TERM	
belge	I-TERM	
du	O	
7	O	
décembre	O	
2007	O	
.	O	
À	O	
multiplier	O	
par	O	
les	O	
décimes	B-TERM	
additionnels	I-TERM	
légaux	I-TERM	
.	O	
Art	O	
219	O	
CIR	B-TERM	
92	O	
.	O	
Que	O	
peuvent	O	
faire	O	
les	O	
entreprises	B-TERM	
?	O	
La	O	
corruption	B-TERM	
est	O	
l'	O	
un	O	
des	O	
principaux	O	
obstacles	O	
pour	O	
les	O	
entreprises	B-TERM	
actives	O	
sur	O	
les	O	
marchés	B-TERM	
étrangers	O	
.	O	
Selon	O	
la	O	
branche	O	
et	O	
le	O	
pays	O	
,	O	
l'	O	
on	O	
risque	O	
tôt	O	
ou	O	
tard	O	
d'	O	
être	O	
confronté	O	
à	O	
des	O	
faits	O	
de	O	
corruption	B-TERM	
.	O	
Il	O	
convient	O	
dès	O	
lors	O	
de	O	
s'	O	
y	O	
préparer	O	
convenablement	O	
.	O	
La	O	
présente	O	
brochure	O	
entend	O	
donner	O	
un	O	
certain	O	
nombre	O	
de	O	
conseils	O	
en	O	
vue	O	
de	O	
prévenir	O	
et	O	
de	O	
lutter	O	
contre	O	
des	O	
pratiques	B-TERM	
de	I-TERM	
corruption	I-TERM	
.	O	
Des	O	
règles	B-TERM	
de	I-TERM	
conduite	I-TERM	
interdisent	O	
la	O	
corruption	B-TERM	
quel	O	
que	O	
soit	O	
le	O	
but	O	
recherché	O	
et	O	
pas	O	
uniquement	O	
pour	O	
obtenir	O	
ou	O	
conserver	O	
un	O	
marché	B-TERM	
.	O	
Cette	O	
interdiction	B-TERM	
s'	O	
étend	O	
non	O	
seulement	O	
au	O	
paiement	B-TERM	
de	O	
commissions	B-TERM	
à	O	
des	O	
officiels	B-TERM	
mais	O	
aussi	O	
à	O	
leur	O	
dissimulation	B-TERM	
dans	O	
des	O	
contrats	B-TERM	
de	O	
sous-traitance	B-TERM	
,	O	
de	O	
conseil	O	
,	O	
«	O	
d'	O	
assistance	O	
technique	O	
»	O	
à	O	
l'	O	
étranger	O	
…	O	
Le	O	
paiement	B-TERM	
des	O	
représentants	O	
sur	O	
place	O	
devrait	O	
se	O	
limiter	O	
à	O	
la	O	
seule	O	
rémunération	B-TERM	
des	O	
services	B-TERM	
légitimes	I-TERM	
.	O	
La	O	
vérification	O	
des	O	
comptes	B-TERM	
des	O	
entreprises	B-TERM	
doit	O	
permettre	O	
d'	O	
éviter	O	
la	O	
tenue	O	
de	O	
comptes	B-TERM	
occultes	I-TERM	
ou	O	
extracomptables	B-TERM	
.	O	
La	O	
réglementation	B-TERM	
en	O	
matière	O	
de	O	
financement	B-TERM	
des	I-TERM	
partis	I-TERM	
politiques	I-TERM	
doit	O	
être	O	
respectée	O	
et	O	
les	O	
autorités	B-TERM	
de	O	
direction	O	
ou	O	
de	O	
contrôle	O	
des	O	
sociétés	B-TERM	
mises	O	
au	O	
courant	O	
des	O	
anomalies	B-TERM	
comptables	I-TERM	
constatées	O	
.	O	
Les	O	
principales	O	
mesures	O	
de	O	
bonne	B-TERM	
gouvernance	I-TERM	
peuvent	O	
être	O	
reprises	O	
dans	O	
des	O	
codes	B-TERM	
de	I-TERM	
déontologie	I-TERM	
mais	O	
le	O	
meilleur	O	
signal	O	
donné	O	
au	O	
personnel	O	
des	O	
entreprises	B-TERM	
réside	O	
encore	O	
dans	O	
l'	O	
exemple	O	
montré	O	
par	O	
leurs	O	
dirigeants	O	
.	O	
En	O	
effet	O	
,	O	
il	O	
est	O	
parfois	O	
difficile	O	
de	O	
faire	O	
la	O	
distinction	O	
entre	O	
la	O	
corruption	B-TERM	
et	O	
l'	O	
entretien	O	
de	O	
contacts	B-TERM	
commerciaux	I-TERM	
normaux	O	
.	O	
Il	O	
y	O	
a	O	
des	O	
zones	B-TERM	
grises	I-TERM	
qui	O	
nécessitent	O	
une	O	
attention	O	
particulière	O	
pour	O	
se	O	
sortir	O	
de	O	
situations	O	
délicates	O	
.	O	
Commercer	B-TERM	
avec	O	
l'	O	
Irak	B-TERM	
,	O	
sous	O	
Saddam	B-TERM	
HUSSEIN	I-TERM	
,	O	
pouvait	O	
rapporter	O	
beaucoup	O	
d'	O	
argent	B-TERM	
mais	O	
aussi	O	
entraîner	O	
des	O	
conséquences	O	
sévères	O	
tant	O	
pour	O	
la	O	
réputation	O	
de	O	
l'	O	
entreprise	B-TERM	
que	O	
sur	O	
le	O	
plan	B-TERM	
pénal	I-TERM	
,	O	
sans	O	
compter	O	
les	O	
commissions	B-TERM	
payées	B-TERM	
aux	O	
officiels	B-TERM	
irakiens	O	
et	O	
à	O	
leurs	O	
intermédiaires	B-TERM	
.	O	
La	O	
Belgique	B-TERM	
réprime	B-TERM	
la	O	
corruption	B-TERM	
d'	O	
agents	B-TERM	
publics	I-TERM	
étrangers	O	
de	O	
la	O	
même	O	
manière	O	
que	O	
la	O	
corruption	B-TERM	
de	O	
personnes	O	
chargées	O	
d'	O	
un	O	
service	B-TERM	
public	I-TERM	
en	O	
Belgique	B-TERM	
.	O	
L'	O	
OCDE	B-TERM	
(	O	
Organisation	B-TERM	
de	I-TERM	
coopération	I-TERM	
et	I-TERM	
de	I-TERM	
développement	I-TERM	
économiques	I-TERM	
)	O	
veille	O	
à	O	
l'	O	
application	O	
effective	O	
de	O	
la	O	
convention	B-TERM	
anticorruption	I-TERM	
de	O	
1997	O	
par	O	
les	O	
autorités	B-TERM	
nationales	O	
en	O	
effectuant	O	
des	O	
missions	B-TERM	
d'	I-TERM	
évaluation	I-TERM	
.	O	
Malheureusement	O	
,	O	
trop	O	
d'	O	
entreprises	B-TERM	
n'	O	
ont	O	
pas	O	
encore	O	
été	O	
sensibilisées	O	
aux	O	
bonnes	O	
pratiques	O	
.	O	
Identifier	O	
tout	O	
signal	O	
d'	O	
alarme	O	
et	O	
prendre	O	
garde	O	
aux	O	
risques	O	
Les	O	
exemples	O	
ci-dessous	O	
montrent	O	
clairement	O	
que	O	
la	O	
corruption	B-TERM	
et	O	
/	O	
ou	O	
l'	O	
extorsion	B-TERM	
par	O	
des	O	
fonctionnaires	B-TERM	
ou	O	
des	O	
autres	O	
personnes	O	
indélicat(e)	O	
s	O	
peu(ven)	O	
t	O	
prendre	O	
de	O	
nombreuses	O	
formes	O	
et	O	
placer	O	
des	O	
entreprises	B-TERM	
dans	O	
des	O	
situations	O	
difficiles	O	
.	O	
C'	O	
est	O	
la	O	
raison	O	
pour	O	
laquelle	O	
il	O	
est	O	
important	O	
de	O	
reconnaître	O	
les	O	
signaux	O	
d'	O	
alarme	O	
à	O	
un	O	
stade	O	
avancé	O	
de	O	
manière	O	
à	O	
éviter	O	
autant	O	
que	O	
possible	O	
toute	O	
situation	O	
à	O	
risque	O	
.	O	
Si	O	
je	O	
ne	O	
glisse	O	
pas	O	
quelques	O	
dollars	O	
dans	O	
mon	O	
passeport	O	
,	O	
je	O	
cours	O	
le	O	
risque	O	
de	O	
patienter	O	
une	O	
heure	O	
de	O	
plus	O	
dans	O	
l'	O	
aéroport	O	
,	O	
pendant	O	
que	O	
les	O	
autorités	B-TERM	
locales	O	
vérifient	O	
mes	O	
papiers	O	
.	O	
Mon	O	
directeur	B-TERM	
des	I-TERM	
achats	I-TERM	
a	O	
passé	O	
un	O	
accord	O	
secret	O	
avec	O	
un	O	
fournisseur	O	
qui	O	
est	O	
systématiquement	O	
retenu	O	
pour	O	
les	O	
produits	O	
que	O	
je	O	
fournis	O	
à	O	
mes	O	
filiales	O	
.	O	
De	O	
deux	O	
choses	O	
l'	O	
une	O	
,	O	
je	O	
me	O	
débarrasse	O	
discrètement	O	
dudit	O	
directeur	O	
et	O	
il	O	
ira	O	
sévir	O	
chez	O	
un	O	
concurrent	O	
ou	O	
je	O	
porte	O	
plainte	B-TERM	
à	O	
son	O	
égard	O	
sans	O	
crainte	O	
d'	O	
une	O	
quelconque	O	
publicité	O	
.	O	
Ma	O	
société	B-TERM	
montrera	O	
qu'	O	
elle	O	
est	O	
attentive	O	
au	O	
prix	B-TERM	
que	O	
je	O	
fais	O	
payer	B-TERM	
au	O	
consommateur	O	
sans	O	
commission	B-TERM	
inutile	O	
et	O	
contre-productive	O	
.	O	
Je	O	
sais	O	
que	O	
les	O	
dirigeants	O	
de	O	
tel	O	
pays	O	
prélèvent	B-TERM	
une	I-TERM	
dîme	I-TERM	
sur	O	
leurs	O	
fournitures	O	
de	O	
matières	O	
premières	O	
.	O	
Dois-je	O	
collaborer	O	
avec	O	
mes	O	
collègues	O	
d'	O	
autres	O	
pays	O	
pour	O	
leur	O	
faire	O	
comprendre	O	
que	O	
ces	O	
pratiques	O	
sont	O	
révolues	O	
?	O	
Personne	O	
ne	O	
m'	O	
oblige	O	
à	O	
commercer	B-TERM	
avec	O	
eux	O	
.	O	
Je	O	
me	O	
rends	O	
avec	O	
le	O	
directeur	O	
d'	O	
une	O	
institution	B-TERM	
publique	I-TERM	
vers	O	
une	O	
destination	O	
ensoleillée	O	
(	O	
Madrid	B-TERM	
,	O	
Rome	B-TERM	
ou	O	
San	B-TERM	
Francisco	I-TERM	
)	O	
pour	O	
la	O	
présentation	O	
de	O	
mon	O	
dernier	O	
produit	O	
et	O	
je	O	
prends	O	
la	O	
semaine	O	
complète	O	
pour	O	
procéder	O	
aux	O	
tests	O	
.	O	
Pourquoi	O	
ne	O	
pas	O	
l'	O	
inviter	O	
pour	O	
lui	O	
présenter	O	
mon	O	
nouveau	O	
matériel	O	
dans	O	
l'	O	
usine	O	
belge	O	
la	O	
plus	O	
proche	O	
?	O	
Au	O	
passage	O	
,	O	
il	O	
faut	O	
aussi	O	
signaler	O	
quelques	O	
sanctions	B-TERM	
possibles	O	
,	O	
en	O	
plus	O	
des	O	
poursuites	B-TERM	
pénales	I-TERM	
que	O	
vous	O	
risquez	O	
en	O	
agissant	O	
de	O	
la	O	
sorte	O	
.	O	
La	O	
Banque	B-TERM	
Mondiale	I-TERM	
peut	O	
vous	O	
placer	O	
sur	O	
une	O	
liste	B-TERM	
noire	I-TERM	
des	O	
sociétés	B-TERM	
et	O	
/	O	
ou	O	
des	O	
personnes	O	
à	O	
consulter	O	
pour	O	
divers	O	
marchés	B-TERM	
qui	O	
bénéficient	O	
de	O	
subsides	B-TERM	
ou	O	
d'	O	
aides	B-TERM	
au	I-TERM	
développement	I-TERM	
.	O	
L'	O	
Union	B-TERM	
européenne	I-TERM	
peut	O	
suspendre	O	
le	O	
paiement	B-TERM	
des	O	
subventions	B-TERM	
qu'	O	
elle	O	
octroie	O	
au	O	
programme	O	
auquel	O	
vous	O	
participez	O	
.	O	
N'	O	
oubliez	O	
pas	O	
non	O	
plus	O	
que	O	
la	O	
corruption	B-TERM	
peut	O	
être	O	
contagieuse	O	
et	O	
que	O	
si	O	
l'	O	
on	O	
apprend	O	
en	O	
interne	O	
que	O	
vous	O	
corrompez	B-TERM	
des	O	
fonctionnaires	B-TERM	
,	O	
la	O	
tentation	O	
sera	O	
plus	O	
grande	O	
de	O	
détourner	B-TERM	
des	O	
biens	B-TERM	
de	O	
l'	O	
entreprise	B-TERM	
ou	O	
de	O	
se	O	
laisser	O	
corrompre	B-TERM	
dans	O	
son	O	
propre	O	
champ	O	
d'	O	
activité	O	
.	O	
Si	O	
une	O	
conduite	B-TERM	
éthique	I-TERM	
donne	O	
l'	O	
exemple	O	
,	O	
l'	O	
inverse	O	
l'	O	
est	O	
tout	O	
aussi	O	
.	O	
Une	O	
fois	O	
corrupteur	B-TERM	
,	O	
toujours	O	
corrupteurs	B-TERM	
?	O	
Frauder	B-TERM	
en	O	
vous	O	
compromettant	B-TERM	
vous	O	
met	O	
en	O	
position	O	
de	O	
vulnérabilité	O	
:	O	
lorsque	O	
le	O	
doigt	O	
est	O	
mis	O	
dans	O	
l'	O	
engrenage	O	
,	O	
il	O	
sera	O	
difficile	O	
d'	O	
arrêter	O	
de	O	
payer	B-TERM	
des	O	
pots-de-vin	B-TERM	
sans	O	
faire	O	
l'	O	
objet	O	
de	O	
chantage	B-TERM	
.	O	
En	O	
cas	O	
de	O	
litige	B-TERM	
commercial	I-TERM	
entraînant	O	
une	O	
rupture	B-TERM	
de	I-TERM	
contrat	I-TERM	
,	O	
il	O	
vous	O	
sera	O	
impossible	O	
de	O	
réclamer	B-TERM	
le	O	
remboursement	B-TERM	
de	O	
sommes	B-TERM	
n'	O	
ayant	O	
pas	O	
d'	O	
existence	O	
légale	B-TERM	
…	O	
Agir	O	
:	O	
que	O	
peut	O	
faire	O	
une	O	
entreprise	B-TERM	
dans	O	
la	O	
pratique	O	
?	O	
S'	O	
informer	O	
Vous	O	
êtes	O	
en	O	
train	O	
de	O	
vous	O	
informer	O	
,	O	
c'	O	
est	O	
un	O	
bon	O	
début	O	
.	O	
L'	O	
information	O	
est	O	
la	O	
première	O	
et	O	
meilleure	O	
arme	O	
à	O	
laquelle	O	
recourir	O	
dans	O	
la	O	
lutte	O	
quotidienne	O	
que	O	
les	O	
entreprises	B-TERM	
doivent	O	
livrer	O	
contre	O	
les	O	
pratiques	B-TERM	
de	I-TERM	
corruption	I-TERM	
.	O	
Vous	O	
trouverez	O	
dans	O	
cette	O	
brochure	O	
quelques	O	
sites	O	
Internet	O	
(	O	
nationaux	O	
et	O	
internationaux	O	
)	O	
pour	O	
compléter	O	
votre	O	
information	O	
.	O	
Consultez	O	
par	O	
exemple	O	
le	O	
site	O	
Web	O	
«	O	
ICC	B-TERM	
Rules	O	
of	O	
Conduct	O	
and	O	
Recommendations	O	
for	O	
Combating	O	
Extortion	O	
and	O	
Bribery	O	
»	O	
rédigé	O	
par	O	
l'	O	
organisation	O	
internationale	O	
des	O	
employeurs	B-TERM	
ICC	B-TERM	
.	O	
Ces	O	
lignes	B-TERM	
de	I-TERM	
conduite	I-TERM	
peuvent	O	
être	O	
considérées	O	
comme	O	
une	O	
méthode	O	
d'	O	
autorégulation	O	
exposant	O	
les	O	
règles	B-TERM	
de	O	
base	O	
en	O	
matière	O	
de	O	
prévention	O	
de	O	
la	O	
corruption	B-TERM	
par	O	
les	O	
entreprises	B-TERM	
.	O	
S'	O	
il	O	
est	O	
vrai	O	
qu'	O	
elles	O	
n'	O	
ont	O	
pas	O	
de	O	
valeur	B-TERM	
légale	I-TERM	
,	O	
il	O	
n'	O	
empêche	O	
que	O	
ces	O	
règles	B-TERM	
de	I-TERM	
conduite	I-TERM	
ICC	B-TERM	
donnent	O	
un	O	
aperçu	O	
des	O	
meilleures	O	
pratiques	B-TERM	
d'	I-TERM	
entreprises	I-TERM	
.	O	
Ces	O	
règles	B-TERM	
permettent	O	
aux	O	
entreprises	B-TERM	
de	O	
satisfaire	O	
plus	O	
aisément	O	
à	O	
leurs	O	
obligations	O	
et	O	
responsabilités	B-TERM	
légales	B-TERM	
.	O	
L'	O	
ICC	B-TERM	
dispose	O	
par	O	
ailleurs	O	
d'	O	
un	O	
autre	O	
outil	O	
important	O	
:	O	
le	O	
«	O	
