TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC	label
Schatten	O	_	O	_	_	O	_	_	_	6
von	O	_	O	_	_	O	_	_	_	6
Grund	O	_	O	_	_	O	_	_	NoSpaceAfter	6
vorliegt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
Unterdrückung	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
politischen	O	_	O	_	_	O	_	_	_	6
Rechte	O	_	O	_	_	O	_	_	NoSpaceAfter	6
in	O	_	O	_	_	O	_	_	_	6
Prag	B-LOC	_	O	_	_	O	Q1085	_	_	0
rechtfertigen	O	_	O	_	_	O	_	_	_	6
würde	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Wenn	O	_	O	_	_	O	_	_	_	6
das	O	_	O	_	_	O	_	_	_	6
Abgeordneten¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
haus	O	_	O	_	_	O	_	_	_	6
nicht	O	_	O	_	_	O	_	_	_	6
so	O	_	O	_	_	O	_	_	_	6
entnervt	O	_	O	_	_	O	_	_	_	6
wäre	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
nicht	O	_	O	_	_	O	_	_	_	6
bar	O	_	O	_	_	O	_	_	_	6
jeder	O	_	O	_	_	O	_	_	_	6
selbst¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
ständigen	O	_	O	_	_	O	_	_	_	6
Regung	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
würde	O	_	O	_	_	O	_	_	_	6
es	O	_	O	_	_	O	_	_	_	6
sich	O	_	O	_	_	O	_	_	_	6
natürlich	O	_	O	_	_	O	_	_	_	6
nicht	O	_	O	_	_	O	_	_	_	6
begnügen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
zu	O	_	O	_	_	O	_	_	_	6
warten	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
bis	O	_	O	_	_	O	_	_	_	6
es	O	_	O	_	_	O	_	_	_	6
irgendeiner	O	_	O	_	_	O	_	_	_	6
Regierung	O	_	O	_	_	O	_	_	_	6
belieben	O	_	O	_	_	O	_	_	_	6
wird	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
den	O	_	O	_	_	O	_	_	_	6
Ausnahmszustand	O	_	O	_	_	O	_	_	_	6
aus	O	_	O	_	_	O	_	_	_	6
einer	O	_	O	_	_	O	_	_	_	6
Art	O	_	O	_	_	O	_	_	_	6
Huld	O	_	O	_	_	O	_	_	_	6
aufzuheben	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
sondern	O	_	O	_	_	O	_	_	_	6
es	O	_	O	_	_	O	_	_	_	6
würde	O	_	O	_	_	O	_	_	_	6
seine	O	_	O	_	_	O	_	_	_	6
Aufhebung	O	_	O	_	_	O	_	_	_	6
fordern	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Graf	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Thun	B-PER	_	O	_	_	O	Q79181	_	_	1
webt	O	_	O	_	_	O	_	_	_	6
allerdings	O	_	O	_	_	O	_	_	_	6
mit	O	_	O	_	_	O	_	_	_	6
den	O	_	O	_	_	O	_	_	_	6
merkwürdigsten	O	_	O	_	_	O	_	_	_	6
Künsten	O	_	O	_	_	O	_	_	NoSpaceAfter	6
eine	O	_	O	_	_	O	_	_	_	6
Apotheose	O	_	O	_	_	O	_	_	_	6
um	O	_	O	_	_	O	_	_	_	6
sein	O	_	O	_	_	O	_	_	_	6
Haupt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
;	O	_	O	_	_	O	_	_	_	6
wenn	O	_	O	_	_	O	_	_	_	6
man	O	_	O	_	_	O	_	_	_	6
ihm	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	NoSpaceAfter	6
seinen	O	_	O	_	_	O	_	_	_	6
Blättern	O	_	O	_	_	O	_	_	_	6
traute	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
würde	O	_	O	_	_	O	_	_	_	6
man	O	_	O	_	_	O	_	_	_	6
schier	O	_	O	_	_	O	_	_	_	6
glauben	O	_	O	_	_	O	_	_	_	6
können	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
sein	O	_	O	_	_	O	_	_	_	6
Wirken	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Böhmen	B-LOC	_	O	_	_	O	Q39193	_	_	0
sei	O	_	O	_	_	O	_	_	_	6
ein	O	_	O	_	_	O	_	_	_	6
ersprießliches	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
aner¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
kanntes	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Hebt	O	_	O	_	_	O	_	_	_	6
man	O	_	O	_	_	O	_	_	_	6
aber	O	_	O	_	_	O	_	_	_	6
den	O	_	O	_	_	O	_	_	_	6
Schleier	O	_	O	_	_	O	_	_	_	6
von	O	_	O	_	_	O	_	_	_	6
den	O	_	O	_	_	O	_	_	_	6
Verhält¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
nissen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
so	O	_	O	_	_	O	_	_	_	6
erblickt	O	_	O	_	_	O	_	_	_	6
man	O	_	O	_	_	O	_	_	_	6
ein	O	_	O	_	_	O	_	_	_	6
Regime	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
das	O	_	O	_	_	O	_	_	_	6
sich	O	_	O	_	_	O	_	_	_	6
durch	O	_	O	_	_	O	_	_	_	6
Willkür	O	_	O	_	_	O	_	_	NoSpaceAfter	6
und	O	_	O	_	_	O	_	_	_	6
Unterdrückung	O	_	O	_	_	O	_	_	_	6
behauptet	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
von	O	_	O	_	_	O	_	_	_	6
dem	O	_	O	_	_	O	_	_	_	6
Haß	O	_	O	_	_	O	_	_	_	6
ausgeht	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
das	O	_	O	_	_	O	_	_	NoSpaceAfter	6
die	O	_	O	_	_	O	_	_	_	6
tiefste	O	_	O	_	_	O	_	_	_	6
Verbitterung	O	_	O	_	_	O	_	_	_	6
erzeugt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Selbst	O	_	O	_	_	O	_	_	_	6
wer	O	_	O	_	_	O	_	_	_	6
es	O	_	O	_	_	O	_	_	_	6
nicht	O	_	O	_	_	O	_	_	_	6
em¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
pfindet	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
daß	O	_	O	_	_	O	_	_	_	6
Ausnahmsgesetze	O	_	O	_	_	O	_	_	_	6
allezeit	O	_	O	_	_	O	_	_	_	6
verwerflich	O	_	O	_	_	O	_	_	_	6
sind	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
wird	O	_	O	_	_	O	_	_	NoSpaceAfter	6
sie	O	_	O	_	_	O	_	_	_	6
nur	O	_	O	_	_	O	_	_	_	6
durch	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
stärkste	O	_	O	_	_	O	_	_	_	6
Nothwendigkeit	O	_	O	_	_	O	_	_	_	6
erklären	O	_	O	_	_	O	_	_	_	6
können	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Der	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Ausnahmszustand	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Prag	B-LOC	_	O	_	_	O	Q1085	_	_	0
bleibt	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Geltung	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
weil	O	_	O	_	_	O	_	_	_	6
er	O	_	O	_	_	O	_	_	NoSpaceAfter	6
besteht	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
weil	O	_	O	_	_	O	_	_	_	6
es	O	_	O	_	_	O	_	_	_	6
Herrn	O	_	O	_	_	O	_	_	_	6
Grafen	O	_	O	_	_	O	_	_	_	6
Thun	B-PER	_	O	_	_	O	Q79181	_	_	1
mit	O	_	O	_	_	O	_	_	_	6
ihm	O	_	O	_	_	O	_	_	_	6
zu	O	_	O	_	_	O	_	_	NoSpaceAfter	6
regieren	O	_	O	_	_	O	_	_	_	6
bequemer	O	_	O	_	_	O	_	_	_	6
ist	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Wenn	O	_	O	_	_	O	_	_	_	6
das	O	_	O	_	_	O	_	_	_	6
freie	O	_	O	_	_	O	_	_	_	6
Wort	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Prag	B-LOC	_	O	_	_	O	Q1085	_	NoSpaceAfter	0
wieder	O	_	O	_	_	O	_	_	_	6
Recht	O	_	O	_	_	O	_	_	_	6
haben	O	_	O	_	_	O	_	_	_	6
wird	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
bleibt	O	_	O	_	_	O	_	_	_	6
von	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
mühsam	O	_	O	_	_	O	_	_	_	6
aus¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
geklügelten	O	_	O	_	_	O	_	_	_	6
Popularität	O	_	O	_	_	O	_	_	_	6
des	O	_	O	_	_	O	_	_	_	6
Ausnahmsstatthalters	O	_	O	_	_	O	_	_	_	6
nichts	O	_	O	_	_	O	_	_	NoSpaceAfter	6
übrig	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Er	O	_	O	_	_	O	_	_	_	6
ist	O	_	O	_	_	O	_	_	_	6
dann	O	_	O	_	_	O	_	_	_	6
unmöglich	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
deswegen	O	_	O	_	_	O	_	_	_	6
hält	O	_	O	_	_	O	_	_	_	6
er	O	_	O	_	_	O	_	_	NoSpaceAfter	6
daran	O	_	O	_	_	O	_	_	_	6
fest	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Aber	O	_	O	_	_	O	_	_	_	6
es	O	_	O	_	_	O	_	_	_	6
wäre	O	_	O	_	_	O	_	_	_	6
Zeit	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
daß	O	_	O	_	_	O	_	_	_	6
man	O	_	O	_	_	O	_	_	_	6
Herrn	O	_	O	_	_	O	_	_	_	6
Thun	B-PER	_	O	_	_	O	Q79181	_	NoSpaceAfter	1
,	I-PER	_	O	_	_	O	Q79181	_	NoSpaceAfter	7
das	O	_	O	_	_	O	_	_	_	6
würdige	O	_	O	_	_	O	_	_	_	6
Werkzeug	O	_	O	_	_	O	_	_	_	6
des	O	_	O	_	_	O	_	_	_	6
Koalitionsministeriums	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
diesem	O	_	O	_	_	O	_	_	NoSpaceAfter	6
selbst	O	_	O	_	_	O	_	_	_	6
nachschickt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
sind	O	_	O	_	_	O	_	_	_	6
heute	O	_	O	_	_	O	_	_	_	6
im	O	_	O	_	_	O	_	_	_	6
Klub	B-ORG	_	O	_	_	O	NIL	_	_	8
der	I-ORG	_	O	_	_	O	NIL	_	_	4
Vereinigten	I-ORG	_	O	_	_	O	NIL	_	_	4
Linken	I-ORG	_	O	_	_	O	NIL	_	_	4
abgehalten	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Die	O	_	O	_	_	O	_	_	_	6
Todtenfeierlichkeiten	O	_	O	_	_	O	_	_	_	6
für	O	_	O	_	_	O	_	_	_	6
Herrn	O	_	O	_	_	O	_	_	_	6
v	B-PER	_	O	_	_	O	Q324918	_	NoSpaceAfter	1
.	I-PER	_	O	_	_	O	Q324918	_	_	7
Plener	I-PER	_	O	_	_	O	Q324918	_	NoSpaceAfter	7
sind	O	_	O	_	_	O	_	_	_	6
heute	O	_	O	_	_	O	_	_	_	6
im	O	_	O	_	_	O	_	_	_	6
Klub	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Vereinigten	O	_	O	_	_	O	_	_	_	6
Linken	O	_	O	_	_	O	_	_	_	6
abgehalten	O	_	O	_	_	O	_	_	NoSpaceAfter	6
worden	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Herr	O	_	O	_	_	O	_	_	_	6
v	B-PER	_	O	_	_	O	Q324918	_	NoSpaceAfter	1
.	I-PER	_	O	_	_	O	Q324918	_	_	7
Plener	I-PER	_	O	_	_	O	Q324918	_	_	7
verspricht	O	_	O	_	_	O	_	_	_	6
seiner	O	_	O	_	_	O	_	_	_	6
Partei	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
„	O	_	O	_	_	O	_	_	NoSpaceAfter	6
die	O	_	O	_	_	O	_	_	NoSpaceAfter	6
freundlichsten	O	_	O	_	_	O	_	_	NoSpaceAfter	6
""""	O	_	O	_	_	O	_	_	_	6
von	O	_	O	_	_	O	_	_	_	6
den	O	_	O	_	_	O	_	_	_	6
Erinnerungen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
ihn	O	_	O	_	_	O	_	_	_	6
mit	O	_	O	_	_	O	_	_	_	6
ihr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
verknüpfen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
zum	O	_	O	_	_	O	_	_	_	6
Abschied	O	_	O	_	_	O	_	_	_	6
herüberzunehmen	O	_	O	_	_	O	_	_	_	6
—	O	_	O	_	_	O	_	_	_	6
herüber	O	_	O	_	_	O	_	_	NoSpaceAfter	6
?	O	_	O	_	_	O	_	_	NoSpaceAfter	6
—	O	_	O	_	_	O	_	_	NoSpaceAfter	6
:	O	_	O	_	_	O	_	_	_	6
das	O	_	O	_	_	O	_	_	_	6
ist	O	_	O	_	_	O	_	_	_	6
offenbar	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
Erinnerung	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
daß	O	_	O	_	_	O	_	_	_	6
er	O	_	O	_	_	O	_	_	NoSpaceAfter	6
durch	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
Linke	O	_	O	_	_	O	_	_	_	6
Minister	O	_	O	_	_	O	_	_	_	6
gewoden	O	_	O	_	_	O	_	_	_	6
ist	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Minder	O	_	O	_	_	O	_	_	_	6
dankbar	O	_	O	_	_	O	_	_	NoSpaceAfter	6
scheint	O	_	O	_	_	O	_	_	_	6
Herr	O	_	O	_	_	O	_	_	_	6
v	B-PER	_	O	_	_	O	Q324918	_	NoSpaceAfter	1
.	I-PER	_	O	_	_	O	Q324918	_	_	7
Plener	I-PER	_	O	_	_	O	Q324918	_	_	7
seiner	O	_	O	_	_	O	_	_	_	6
Partei	O	_	O	_	_	O	_	_	_	6
dafür	O	_	O	_	_	O	_	_	_	6
zu	O	_	O	_	_	O	_	_	_	6
sein	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
daß	O	_	O	_	_	O	_	_	_	6
er	O	_	O	_	_	O	_	_	_	6
ihr	O	_	O	_	_	O	_	_	_	6
auch	O	_	O	_	_	O	_	_	_	6
seinen	O	_	O	_	_	O	_	_	_	6
Sturz	O	_	O	_	_	O	_	_	_	6
verdankt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
;	O	_	O	_	_	O	_	_	_	6
wie	O	_	O	_	_	O	_	_	_	6
er	O	_	O	_	_	O	_	_	NoSpaceAfter	6
meint	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
denn	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Wahrheit	O	_	O	_	_	O	_	_	_	6
fiel	O	_	O	_	_	O	_	_	_	6
er	O	_	O	_	_	O	_	_	_	6
über	O	_	O	_	_	O	_	_	_	6
seine	O	_	O	_	_	O	_	_	_	6
Unfähigkeit	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Die	O	_	O	_	_	O	_	_	_	6
Adresse	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Vereinigten	O	_	O	_	_	O	_	_	_	6
Linken	O	_	O	_	_	O	_	_	_	6
ist	O	_	O	_	_	O	_	_	_	6
von	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
für	O	_	O	_	_	O	_	_	_	6
solche	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Momente	O	_	O	_	_	O	_	_	_	6
landesüblichen	O	_	O	_	_	O	_	_	_	6
Wärme	O	_	O	_	_	O	_	_	NoSpaceAfter	6
;	O	_	O	_	_	O	_	_	_	6
weniger	O	_	O	_	_	O	_	_	_	6
wäre	O	_	O	_	_	O	_	_	_	6
mehr	O	_	O	_	_	O	_	_	_	6
ge¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
wesen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Die	O	_	O	_	_	O	_	_	_	6
„	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Wähler	O	_	O	_	_	O	_	_	NoSpaceAfter	6
""""	O	_	O	_	_	O	_	_	_	6
des	O	_	O	_	_	O	_	_	_	6
Herrn	O	_	O	_	_	O	_	_	_	6
v	B-PER	_	O	_	_	O	Q324918	_	NoSpaceAfter	1
.	I-PER	_	O	_	_	O	Q324918	_	_	7
Plener	I-PER	_	O	_	_	O	Q324918	_	_	7
haben	O	_	O	_	_	O	_	_	_	6
ihn	O	_	O	_	_	O	_	_	_	6
gleich¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
falls	O	_	O	_	_	O	_	_	_	6
ihres	O	_	O	_	_	O	_	_	_	6
Vertrauens	O	_	O	_	_	O	_	_	_	6
versichert	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Das	O	_	O	_	_	O	_	_	_	6
Schreiben	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Egerer	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Handelskammer	O	_	O	_	_	O	_	_	_	6
klingt	O	_	O	_	_	O	_	_	_	6
wie	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
schärsste	O	_	O	_	_	O	_	_	_	6
Satire	O	_	O	_	_	O	_	_	_	6
auf	O	_	O	_	_	O	_	_	_	6
unser	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Wahlrecht	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
„	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Ihre	O	_	O	_	_	O	_	_	_	6
nahezu	O	_	O	_	_	O	_	_	_	6
vollzählig	O	_	O	_	_	O	_	_	_	6
versammelten	O	_	O	_	_	O	_	_	_	6
Wähler	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
""""	O	_	O	_	_	O	_	_	NoSpaceAfter	6
schreiben	O	_	O	_	_	O	_	_	_	6
ihm	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
Mitglieder	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Egerer	O	_	O	_	_	O	_	_	_	6
Handelskammer	O	_	O	_	_	O	_	_	NoSpaceAfter	6
;	O	_	O	_	_	O	_	_	NoSpaceAfter	6
man	O	_	O	_	_	O	_	_	_	6
vergegenwärtige	O	_	O	_	_	O	_	_	_	6
sich	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
daß	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
nahezu	O	_	O	_	_	O	_	_	_	6
vollzähligen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Wähler	O	_	O	_	_	O	_	_	_	6
vollzählig	O	_	O	_	_	O	_	_	_	6
wohlgezählte	O	_	O	_	_	O	_	_	_	6
zweiunddreißig	O	_	O	_	_	O	_	_	_	6
Menschen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
sind	O	_	O	_	_	O	_	_	NoSpaceAfter	6
!	O	_	O	_	_	O	_	_	_	6
Man	O	_	O	_	_	O	_	_	_	6
kann	O	_	O	_	_	O	_	_	_	6
sich	O	_	O	_	_	O	_	_	_	6
vorstellen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
welch	O	_	O	_	_	O	_	_	_	6
erhebendes	O	_	O	_	_	O	_	_	_	6
Ge¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
fühl	O	_	O	_	_	O	_	_	_	6
es	O	_	O	_	_	O	_	_	_	6
ist	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
wenn	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
Wähler	O	_	O	_	_	O	_	_	_	6
Herrn	O	_	O	_	_	O	_	_	_	6
v	B-PER	_	O	_	_	O	Q324918	_	NoSpaceAfter	1
.	I-PER	_	O	_	_	O	Q324918	_	_	7
Plener	I-PER	_	O	_	_	O	Q324918	_	_	7
ver¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
sichern	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
daß	O	_	O	_	_	O	_	_	_	6
